Title,Year,citations,Scientific Entity Disambigious,FICE Score
"Proceedings of the 29th Pacific Asia Conference on Language, Information and Computation: Posters",2015.0,0,"35th pacific asia conference, language, multimedia, abstract, photo",0.5056181602301594
Identification of Sympathy in Free Conversation,2015.0,1,"sad, student talk",0.8480191285841379
Toward a Corpus of {C}antonese Verbal Comments and their Classification by Multi-dimensional Analysis,2015.0,1,"pod, cantonese verbal comments, classification, multi-dimensional analysis",0.2976729224527412
Improved Entity Linking with User History and News Articles,2015.0,1,"node linking, user views, news video",0.6972817817892445
An Arguing Lexicon for Stance Classification on Short Text Comments in {C}hinese,2015.0,0,"deep lexicon, stance classification, text documents, pinyin",0.3303924134161842
Learning Sentential Patterns of Various Rhetoric Moves for Assisted Academic Writing,2015.0,1,"sentential amr, discourse new, assisted academic writing",0.46577380763371967
{I}dioms: Formally Flexible but Semantically Non-transparent,2015.0,3,"idioms, formality, semantically non-transparent",0.012845134769991384
Asymmetries in Scrambling and Distinctness of Copies,2015.0,0,"asymmetries, it, distinctness of copies",3.584799124212168e-12
Detecting an Infant{'}s Developmental Reactions in Reviews on Picture Books,2015.0,2,"infant's developmental reactions, review, picture book",0.0005863467273495848
Semi-automatic Filtering of Translation Errors in Triangle Corpus,2015.0,1,"semi-automatic linking, errors in texts, beamr",0.147995294186133
Cross-language Projection of Dependency Trees for Tree-to-tree Machine Translation,2015.0,4,"cross-linguistic markers, discourse tree, tree-to-tree translation model",0.048242835473309056
Realignment from Finer-grained Alignment to Coarser-grained Alignment to Enhance {M}ongolian-{C}hinese {SMT},2015.0,1,"realignment, fine-grained control, arabic-italian smt",0.0
Finding the Origin of a Translated Historical Document,2015.0,1,"age, translation initiative",0.4438351551563312
Improving the Performance of an Example-Based Machine Translation System Using a Domain-specific Bilingual Lexicon,2015.0,2,"performing, example-based rough translation, bilingual person-name lexicons",0.48029073719780546
A Multifactorial Analysis of {E}nglish Particle Movement in {K}orean {EFL} Learners{'} Writings,2015.0,1,"multifactorial analysis, english particle movement, korean efl learners",0.0005341391162587694
An Efficient Annotation for Phrasal Verbs using Dependency Information,2015.0,3,"annotation, phrasal verbs, dependency context",0.33271221604260315
Color Aesthetics and Social Networks in Complete Tang Poems: Explorations and Discoveries,2015.0,8,"color aesthetics, social network, complete tang poems, explorations, plots",0.18898591095797765
{K}orean {T}witter Emotion Classification Using Automatically Built Emotion Lexicons and Fine-Grained Features,2015.0,13,"greek twitter, emotion terms, machine-readable lexicons, fine-grained features",0.024046203367014796
{C}hinese Word Segmentation based on analogy and majority voting,2015.0,2,"chinese word segmentation, gaps, majority voting",0.20935127531043943
Enhancing Root Extractors Using Light Stemmers,2015.0,9,"rote extractor, stemmers",0.0
Where Morphological Complexity Matters,2015.0,0,morphological types,0.4603096339353543
Distinguishing between True and False Stories using various Linguistic Features,2015.0,0,"fairytaleqa, false friends, linguistic traits",9.458856031763219e-09
Bilingually motivated segmentation and generation of word translations using relatively small translation data sets,2015.0,3,"bilingually motivated domain, adaptation of texts, large data set",1.2989609388114332e-14
Selecting Contextual Peripheral Information for Answer Presentation: The Need for Pragmatic Models,2015.0,1,"contextual cues, answer choices, pragmatic models",0.8191283633359547
{R}eal{T}ext-asg: A Model to Present Answers Utilizing the Linguistic Structure of Source Question,2015.0,3,"xml:tm, hp, gems, linguistic models, source tree",0.20509569079498674
Learning under Covariate Shift for Domain Adaptation for Word Sense Disambiguation,2015.0,4,"covariate shift, domain adaptive, word sense ambiguation",0.7190319357622653
Unsupervised Domain Adaptation for Word Sense Disambiguation using Stacked Denoising Autoencoder,2015.0,5,"unsupervised domain adaptation, word sense ambiguation, stacked denoising autoencoder",0.2570855232673903
Construction of Semantic Collocation Bank Based on Semantic Dependency Parsing,2015.0,1,"word collocation, phrase dependency parsing",0.01630766224308522
Dynamic Semantics for Intensification and Epistemic Necessity: The Case of Y{\'\i}d{\`\i}ng and Sh{\`\i}b{\`\i} in {M}andarin {C}hinese,2015.0,1,"dynamic logic, intensification, epistemic must, yor\`ub\'a, sh\`\ib\`\i, mandarin chinese",0.10492144249610799
A Corpus-based Comparatively Study on the Semantic Features and Syntactic patterns of Y{\`o}u/H{\'a}i in {M}andarin {C}hinese,2015.0,0,"pod, semantic value, syntactic patterns, yor\`ub\'a, mandarin chinese",0.29127293079179073
An Empirical Study on Sentiment Classification of {C}hinese Review using Word Embedding,2015.0,26,"empirical study, it strategy, chinese web, word embedding",0.5916790250179511
Polarity Classification of Short Product Reviews via Multiple Cluster-based {SVM} Classifiers,2015.0,9,"polarity association, product review, multiple cluster-based svm classifiers",0.5802911567071323
Automatic Classification of Spoken Languages using Diverse Acoustic Features,2015.0,2,"automatic ranking, major languages, classical features",0.20612562667980766
The Syntactic and Semantic Analysis of H{\v{e}}n {X} Constructions in Spoken Corpora,2015.0,0,"syntactic analysis, semantic memory, p\=aṇini, ud corpora",0.22992177434226801
Methods and Tool for Constructing Phonetically-Balanced Materials for Speech Perception Testing: A Development of {T}hai Sentence-Length Materials,2015.0,2,"flow, coil, organize, phonetically-balanced materials, human speech production, health, thai sentence-length materials",0.3197926819277999
Graph Theoretic Features of the Adult Mental lexicon Predict Language Production in {M}andarin: Clustering Coefficient,2015.0,0,"graph theoretic features, mental lexicon, language music, pinyin, clustering effects",0.2179644031849306
Feature Reduction Using Ensemble Approach,2015.0,0,"feature reduction, ensemble approach",0.09584831042252717
"Measuring Popularity of Machine-Generated Sentences Using Term Count, Document Frequency, and Dependency Language Model",2015.0,2,"mo, machine-generated sentences, my term, it standards, label language model",0.26728146104957184
Acquiring distributed representations for verb-object pairs by using word2vec,2015.0,1,"dual representation, verb-object pairs, gov2vec",0.8163403967014207
Dependency parsing for {C}hinese long sentence: A second-stage main structure parsing method,2015.0,0,"dependency parsing, chinese long sentence, two-phase parsing",0.03547759708834164
A Light Rule-based Approach to {E}nglish Subject-Verb Agreement Errors on the Third Person Singular Forms,2015.0,3,"assumption-based, subject-verb agreement, third person singular forms",0.25242996121700123
A Machine Learning Method to Distinguish Machine Translation from Human Translation,2015.0,8,"machine learning method, machine translation, human text",0.2532916861132
"Proceedings of the 29th Pacific Asia Conference on Language, Information and Computation",2015.0,0,"35th pacific asia conference, language, multimedia, abstract",0.4689641667287137
Two-level Word Class Categorization Model in Analytic Languages and Its Implications for {POS} Tagging in {M}odern {C}hinese Corpora,2015.0,0,"class-based language model, formal language, bae, pos tagging, french corpora",0.27697975160765137
A Review of Corpus-based Statistical Models of Language Variation,2015.0,1,"corpus-based statistical models, dialect variation",0.7524723369733122
Translation of Unseen Bigrams by Analogy Using an {SVM} Classifier,2015.0,0,"gowvis, gaps, svm classifier",0.2595680107578928
Machine Translation Experiments on {PADIC}: A Parallel {A}rabic {DI}alect Corpus,2015.0,62,"machine translation, istic, arabic dialect identification",0.3048736773169112
Surrounding Word Sense Model for {J}apanese All-words Word Sense Disambiguation,2015.0,5,"gist consistency, sense-disambiguated wiktionary",0.27666995164263475
Computing Semantic Text Similarity Using Rich Features,2015.0,8,"art, semantic text exchange, rich features",0.31931495150692796
{M}echanical {T}urk-based Experiment vs Laboratory-based Experiment: A Case Study on the Comparison of Semantic Transparency Rating Data,2015.0,13,"mechanical turk-based experiment, double-blind experiment, dialogue dataset, case study, flow",0.24719754777827646
Discourse Relation Recognition by Comparing Various Units of Sentence Expression with Recursive Neural Network,2015.0,1,"discourse relation bank, various units of sentence expression, recursive neural network",0.6753687792921717
Bidirectional Long Short-Term Memory Networks for Relation Classification,2015.0,157,"bidirectional long short-term memory models, relation learning",0.8589152053267028
Distant Supervision for Entity Linking,2015.0,10,"farness, node linking",0.7357961113132564
Toward Algorithmic Discovery of Biographical Information in Local Gazetteers of {A}ncient {C}hina,2015.0,4,"algorithmic study, biographical data, soft gazetteers, ancient china",0.000336247089292363
Fast and Large-scale Unsupervised Relation Extraction,2015.0,7,"fast, large-scale, unsupervised relation",0.8340075736526151
Reducing Lexical Features in Parsing by Word Embeddings,2015.0,3,"lexical markers, parsing, word embeddings",0.5958225993161338
High-order Graph-based Neural Dependency Parsing,2015.0,4,"high-order, neural-based rst parsing",0.7402760622402567
A Dynamic Syntax Modelling of Postposing in {J}apanese Narratives,2015.0,1,"simple syntax, postposing, japanese texts",0.2556368408635914
Unsupervised and Lightly Supervised Part-of-Speech Tagging Using Recurrent Neural Networks,2015.0,15,"unsupervised, lightly superviced, part-of-speech tagged, recurrent neural filters",0.7498336908532877
Identifying Prepositional Phrases in {C}hinese Patent Texts with Rule-based and {CRF} Methods,2015.0,0,"prepositional phrases, patent texts, rule-based method, dcr method",0.16209768474595676
{J}apanese Sentiment Classification with Stacked Denoising Auto-Encoder using Distributed Word Representation,2015.0,8,"arabic social meaning, stacked denoising autoencoder, distributed word models",0.2570855232673903
Is {W}ikipedia Really Neutral? A Sentiment Perspective Study of War-related {W}ikipedia Articles since 1945,2015.0,4,"wikipedia, sentiment dynamics, war-related wikipedia articles, 1937",0.6843623910038557
A Comprehensive Filter Feature Selection for Improving Document Classification,2015.0,6,"active feature selection, document labels",0.4657475162557847
Sentiment Analyzer with Rich Features for Ironic and Sarcastic Tweets,2015.0,6,"sentiment analyzer, rich features, ironic tweets",0.3735292886736229
{T}hai Stock News Sentiment Classification using Wordpair Features,2015.0,1,"thai stock news, it strategy, wordpair features",0.5594680708545845
Sentiment Classification of {A}rabic Documents: Experiments with multi-type features and ensemble algorithms,2015.0,24,"it strategy, arabic texts, low-level features, search algorithms",0.2622908947978277
The Invertible Construction in {C}hinese,2015.0,0,"invertible projections, pinyin",0.36277108113899204
Pan{'}s (2001) puzzle revisited,2015.0,1,pan's puzzle,0.0
{E}nglish Right Dislocation,2015.0,1,"""english"", ""right dislocation""",0.0
A Comparative Study on {M}andarin and {C}antonese Resultative Verb Compounds,2015.0,0,"comparative study, pinyin, auxiliary verb",0.5974472277725666
Complex-{NP} Islands in {K}orean: An Experimental Approach,2015.0,4,"complex-np islands, korea, global approach",0.4006469827986855
Two Types of Multiple Subject Constructions ({MSC}s) in {K}orean,2015.0,1,"discourse relation markers (drms), korea",1.6443694850210022e-08
A Large-scale Study of Statistical Machine Translation Methods for {K}hmer Language,2015.0,7,"large-scale study, statistical machine translation methods, thai language",0.0
{E}nglish to {C}hinese Translation: How {C}hinese Character Matters,2015.0,3,"latin, norwegian edition, chinese radicals",0.36626556352194106
Well-Formed Dependency to String translation with {BTG} Grammar,2015.0,0,"well-formed dependency, string editing, btg grammar",0.6601176351742257
Large-scale Dictionary Construction via Pivot-based Statistical Machine Translation with Significance Pruning and Neural Network Features,2015.0,5,"large-scale dictionary, pivot-based machine translation, pruning, neural model",0.01488111040095641
Annotation and Classification of {F}rench Feedback Communicative Functions,2015.0,7,"annotation, classification, french input, communicative goals",0.38589215940112165
Automatic conversion of sentence-end expressions for utterance characterization of dialogue systems,2015.0,12,"automatic conversion, sentence-end expressions, utterance level, dialogue systems",0.3768581332205088
Auditory Synaesthesia and Near Synonyms: A Corpus-Based Analysis of sheng1 and yin1 in {M}andarin {C}hinese,2015.0,4,"auditory synaesthesia, near synonyms, text-based analysis, yin1, mandarin chinese",0.15324422567243942
System Utterance Generation by Label Propagation over Association Graph of Words and Utterance Patterns for Open-Domain Dialogue Systems,2015.0,9,"utterance units, label propagation, graph, gems, utterance level, open-domain dialogue systems",0.3723667690945627
The Cross-modal Representation of Metaphors,2015.0,0,"cross-modal transfer, metaphors",0.31199820142464885
Writing to Read: the Case of {C}hinese,2015.0,6,"test, be, pinyin",0.6227030888780172
Design of a Learner Corpus for Listening and Speaking Performance,2015.0,0,"learner corpus, eating frame, speaking style",0.8516723748371327
Understanding Infants{'} Language Development in Relation to Levels of Consciousness: An Approach in Building up an Agent-based Model,2015.0,0,"infants' language development, levels of consciousness, agent-based model",0.0
Pivot-Based Topic Models for Low-Resource Lexicon Extraction,2015.0,1,"tier-based modeling, low-resource lexicon extraction",0.0
A Corpus-Based Study of zunshou and Its {E}nglish Equivalents,2015.0,0,"corpus-based data, zunshou, polish equivalents",0.5673177374934628
Self Syntactico-Semantic Enrichment of {LMF} Normalized Dictionaries,2015.0,0,"semantico-syntactic tagging, lmf normalized dictionaries",0.039346805412116215
When Embodiment Meets {G}enerative {L}exicon: The Human Body Part Metaphors in Sinica Corpus,2015.0,4,"embodiment, modality lexicon, human body part metaphors, sinica corpus",0.0660809168190124
Degree Variables by Choose Degree in Izyooni {`}than{'}-Clauses,2015.0,0,"bound variables, izyooni `than'-clauses",0.0
Not Voice but Case Identity in {VP} Ellipsis of {E}nglish,2015.0,0,"age, case identity, vp ellipsis, latin",0.23419788708570727
A Statistical Modeling of the Correlation between Island Effects and Working-memory Capacity for {L}2 Learners,2015.0,0,"robust modeling, correlation, island effect, working memory model, l2 context",0.3991186605261589
De-verbalization and Nominal Categories in {M}andarin {C}hinese: A corpus-driven study in both Mainland {M}andarin and {T}aiwan {M}andarin,2015.0,0,"nasality, nominalizations, mandarin chinese, corpus-based data, mainland chinese, china",0.3841793143594733
Zero Object Resolution in {K}orean,2015.0,4,"zero object, aims, korea",0.24317207638947602
An Improved Hierarchical Word Sequence Language Model Using Directional Information,2015.0,3,"latent language models, frequency data",0.06343010510026159
Neural Network Language Model for {C}hinese {P}inyin Input Method Engine,2015.0,16,"neural network, grammar model, pinyin, input method",0.47709567697396343
Real-time Detection and Sorting of News on Microblogging Platforms,2015.0,3,"real-time detection, api, news, microblogging",0.5413743839800144
Trouble information extraction based on a bootstrap approach from {T}witter,2015.0,1,"must data collection, turk bootstrap, twitter",0.05336255432311765
Using {T}witter Data to Infer Personal Values of {J}apanese Consumers,2015.0,0,"twitter data, moral code, japanese mo",0.6098334292003321
Distant-supervised Language Model for Detecting Emotional Upsurge on {T}witter,2015.0,0,"lightly-supervised modeling, detecting emotional upsurge, twitter",4.697816247123399e-09
Hybrid Method of Semi-supervised Learning and Feature Weighted Learning for Domain Adaptation of Document Classification,2015.0,4,"hybrid method, un-supervised learning, test-time learning, domain adaptive, document labels",0.25260572251997376
Paraphrase Detection Based on Identical Phrase and Similar Word Matching,2015.0,6,"paraphrase detection, equivalents, similar word matching",0.5568973099422478
Multi-aspects Rating Prediction Using Aspect Words and Sentences,2015.0,0,"sieve prediction ranking, aspect words, nut",0.4590908309860099
Understanding Rating Behaviour and Predicting Ratings by Identifying Representative Users,2015.0,3,"rating humor, predicting ratings, expert text",0.41756158213638894
Cross-lingual Pseudo Relevance Feedback Based on Weak Relevant Topic Alignment,2015.0,0,"multilingual pseudo-relevance feedback, emerging topic",0.41279977783981014
Corpus annotation with a linguistic analysis of the associations between event mentions and spatial expressions,2015.0,0,"corpus annotation, tense analysis, ngos, eventke, spatial expressions",0.5072234052891373
Recognizing Complex Negation on {T}witter,2015.0,3,"complex negation, twitter",0.5847341894891692
Topic Model for Identifying Suicidal Ideation in {C}hinese Microblog,2015.0,28,"topic model, suicidal ideation, sina microblog",0.5771381730911829
Predicting Sector Index Movement with Microblogging Public Mood Time Series on Social Issues,2015.0,2,"sector index movement, microblogging, public mood time series, social issues",7.507657495686715e-08
Proceedings of the 12th International Conference on Natural Language Processing,2015.0,0,"5th international conference, natural language processing",0.6123255044342254
Keynote Lecture 1: Scientific Paper Analysis,2015.0,0,"scientific paper corpus, keynote talk",0.0
Addressing Class Imbalance in Grammatical Error Detection with Evaluation Metric Optimization,2015.0,0,"class imbalance, spelling error detection, maximum similarity metric",4.1048831000978225e-11
Words are not Equal: Graded Weighting Model for Building Composite Document Vectors,2015.0,9,"weighting, document vectors, gems",0.43793973235094275
Online Adspace Posts{'} Category Classification,2015.0,0,"online adspace, posts' category, classification",0.6219301290344392
Noun Phrase Chunking for {M}arathi using Distant Supervision,2015.0,1,"noun phrase chunking, sri, farness",0.04699329375458708
Self-Organizing Maps for Classification of a Multi-Labeled Corpus,2015.0,0,"self-organizing map, classification, multi-labeled corpus",0.066833690645836
Word Sense Disambiguation in {H}indi Language Using Hyperspace Analogue to Language and Fuzzy {C}-Means Clustering,2015.0,7,"word sense ambiguation, hindi language, analogue to language, k-means clustering",0.5526214574985988
Using Word Embeddings for Bilingual Unsupervised {WSD},2015.0,2,"word embeddings, bilingual, unsupervised wsd",0.39713783667563063
Compositionality in {B}angla Compound Verbs and their Processing in the Mental Lexicon,2015.0,0,"compositionality, bangla vector verbs, api, mental lexicon",0.5385724570086596
{I}ndo{W}ord{N}et Dictionary: An Online Multilingual Dictionary using {I}ndo{W}ord{N}et,2015.0,1,"indonet, trilingual dictionary",0.621100860813877
Let Sense Bags Do Talking: Cross Lingual Word Semantic Similarity for {E}nglish and {H}indi,2015.0,0,"senseval, multilingual semantic word similarity, latin, urdu",0.4183645245718213
A temporal expression recognition system for medical documents by,2015.0,2,"word recognition model, medical records",0.42916906785934517
An unsupervised {EM} method to infer time variation in sense probabilities,2015.0,1,"unsupervised mt task, time scales, probabilities",9.632438789819453e-05
Solving Data Sparsity by Morphology Injection in Factored {SMT},2015.0,5,"data sparsity, morphology, factored smt",0.5267958883318784
Authorship Attribution in {B}engali Language,2015.0,16,"authorship attribution, hindi language",0.5526214574985988
{T}rans{C}hat: Cross-Lingual Instant Messaging for {I}ndian Languages,2015.0,1,"docchat, cross-lingual instant messaging, indian languages",0.3648229484556428
A Database of Infant Cry Sounds to Study the Likely Cause of Cry,2015.0,14,"disk, cry sounds, likely cause of cry",0.36398620095717293
Perplexed {B}ayes Classifier,2015.0,0,bayes classifier,0.00011205919913281903
An Empirical Study of Diversity of Word Alignment and its Symmetrization Techniques for System Combination,2015.0,0,"empirical study, labor, wordrank, alignment symmetrisation, combination lock",0.3557077274382768
Domain Sentiment Matters: A Two Stage Sentiment Analyzer,2015.0,6,"domain sentiment, sentiment analyzer",0.3735292886736229
Extracting Information from {I}ndian First Names,2015.0,0,"multimedia, indian first names",0.3371344059281689
punct-An Alternative Verb Semantic Ontology Representation,2015.0,0,"punct, base verb, product ontology",0.00849888961710582
{SMT} Errors Requiring Grammatical Knowledge for Prevention,2015.0,1,"asr errors, grammaticality, abuse",0.24686061672264503
Isolated Word Recognition System for {M}alayalam using Machine Learning,2015.0,1,"word recognition model, tamil, machine learning",0.14365031669159745
Judge a Book by its Cover: Conservative Focused Crawling under Resource Constraints,2015.0,0,"ideological proportions, ur constraints",0.2573400028395161
Text Normalization and Unit Selection for a Memory Based Non Uniform Unit Selection {TTS} in {M}alayalam,2015.0,0,"text normalization, unit selection, aligment error rates, tamil",0.015193842534200369
Morphological Analyzer for {G}ujarati using Paradigm based approach with Knowledge based and Statistical Methods,2015.0,0,"morphological analyzer, ssr, paradigmatic approach, knowledge-based method, exponentials",0.36644070973033527
Resolution of Pronominal Anaphora for {T}elugu Dialogues,2015.0,2,"pronominal anaphora, telugu dialogues",1.7685696624414327e-05
A Study on Divergence in {M}alayalam and {T}amil Language in Machine Translation Perceptive,2015.0,0,"divergence, tamil language, machine translation",0.41230077435567253
Automatic conversion of {I}ndian Language Morphological Processors into Grammatical Framework ({GF}),2015.0,0,"indian language nlp, grammatical framework (gf)",0.062063410311707035
Logistic Regression for Automatic Lexical Level Morphological Paradigm Selection for {K}onkani Nouns,2015.0,0,"logistic regression, automatic lexical level, model morphology, konkani",0.3391950241583251
{R}uchi: Rating Individual Food Items in Restaurant Reviews,2015.0,7,"shiji, food items, restaurant reviews, review",0.42332780212011417
Dependency Extraction for Knowledge-based Domain Classification,2015.0,0,"lazy transition, knowledge-based machine",2.3903818964221557e-06
An Approach to Collective Entity Linking,2015.0,0,"basis, collective entity",0.5088975047913352
Development of Speech corpora for different Speech Recognition tasks in {M}alayalam language,2015.0,2,"speech trax, speech recognition tasks, tamil language",0.7775452105731606
{POS} Tagging of {H}indi-{E}nglish Code Mixed Text from Social Media: Some Machine Learning Experiments,2015.0,20,"pos tagging, hindi-english code-mixed text, social media, machine learning model",0.68291115790061
Automated Analysis of {B}angla Poetry for Classification and Poet Identification,2015.0,17,"automated test, bangla, classification, poet identification",0.27267005308478837
Sentence Boundary Detection for Social Media Text,2015.0,12,"linguistic restrictors, social media text",0.4220781430078324
Mood Classification of {H}indi Songs based on Lyrics,2015.0,15,"topic maps, urdu text, lyrics",0.8239690510387074
"Using Skipgrams, Bigrams, and Part of Speech Features for Sentiment Classification of {T}witter Messages",2015.0,5,"memosys, gowvis, part of speech tags, it strategy, twitter post",0.24482295317715358
A Hybrid Approach for Bracketing Noun Sequence,2015.0,0,"hybrid approach, bracketing, noun pairs",0.3079123995109151
Simultaneous Feature Selection and Parameter Optimization Using Multi-objective Optimization for Sentiment Analysis,2015.0,0,"feature impact, rule optimization, multi-metric optimization, link analysis",0.4948220301293564
Detection of Multiword Expressions for {H}indi Language using Word Embeddings and {W}ord{N}et-based Features,2015.0,8,"multiword expressions, hindi language, word embeddings, wordnet-based features",0.35679107875554467
Augmenting Pivot based {SMT} with word segmentation,2015.0,3,"statistical mt (machine translation), word segmentation",0.3874657534591085
Using Multilingual Topic Models for Improved Alignment in {E}nglish-{H}indi {MT},2015.0,3,"multilingual topic model, ict, urdu-english mt",0.051628684035009975
Triangulation of Reordering Tables: An Advancement Over Phrase Table Triangulation in Pivot-Based {SMT},2015.0,1,"triangulation of reordering tables, yellow, phrase table triangulation, tree-based smt",0.04444519303253258
Post-editing a chapter of a specialized textbook into 7 languages: importance of terminological proximity with {E}nglish for productivity,2015.0,2,"post-editing, additional resource, 7 languages, terminological variants, latin, efficacy",0.3613094524773132
Generating Translation Corpora in Indic Languages:Cultivating Bilingual Texts for Cross Lingual Fertilization,2015.0,2,"language corpora, odia language, german texts, cross lingual fertilization",0.0
Translation Quality and Effort: Options versus Post-editing,2015.0,1,"translation quality, wit, aid, post-editing",0.48984312589628004
Investigating the potential of post-ordering {SMT} output to improve translation quality,2015.0,0,"post-ordering smt output, translation quality",0.22874348843097891
Applying {S}anskrit Concepts for Reordering in {MT},2015.0,2,"vedic sanskrit, reordering, ht (human translation)",0.475563598686823
Dialogue Act Recognition for Text-based {S}inhala,2015.0,2,"act recognition, text-based sinhala",0.7611245099129265
A Semi Supervised Dialog Act Tagging for {T}elugu,2015.0,3,"dialog act tagset, sri",4.227607879769835e-06
Ranking Model with a Reduced Feature Set for an Automated Question Generation System,2015.0,3,"model ranking, minimal feature set, question answer system",0.06675514658869668
Natural Language Processing for Solving Simple Word Problems,2015.0,7,"natural language processing, simple word problems",0.06109468626208103
Analysis of Influence of {L}2 {E}nglish Speakers{'} Fluency on Occurrence and Duration of Sentence-medial Pauses in {E}nglish Readout Speech,2015.0,0,"l2 english speakers, fluency, sts, duration, sentence-medial pauses, processing english",0.6655015182822309
Acoustic Correlates of Voicing and Gemination in {B}angla,2015.0,0,"acoustic correlates, voicing, gemination, bangla",0.021889249249583576
Proceedings of the 18th Annual Conference of the {E}uropean Association for Machine Translation,2015.0,0,"19th annual conference, china workshop on machine translation",0.34149114556581106
Exploiting portability to build an {RBMT} prototype for a new source language,2015.0,4,"portability, femti, source language",0.41763303445603883
Building hybrid machine translation systems by using an {EBMT} preprocessor to create partial translations,2015.0,0,"hybrid machine translation system, ebmt preprocessor, partial translations",0.026462944508526376
Using on-line available sources of bilingual information for word-level machine translation quality estimation,2015.0,8,"on-line available sources, bilingual data, word-level machine translation, quality estimation",0.2809663170857073
A general framework for minimizing translation effort: towards a principled combination of translation technologies in computer-aided translation,2015.0,6,"first principles, minimizing training corpus, new method, translation technologies, computer-aided translation",0.4506482526148857
Can Translation Memories afford not to use paraphrasing?,2015.0,16,"translation rule, paraphrasing",0.23645724444455646
Dependency-based Reordering Model for Constituent Pairs in Hierarchical {SMT},2015.0,6,"class-based agreement model, constituent pairs, semantic smt",0.511011222547463
The role of artificially generated negative data for quality estimation of machine translation,2015.0,6,"neurally generated text, quality estimation, machine translation",0.4116339595284927
Document-Level Machine Translation with Word Vector Models,2015.0,12,"document-level translation, word vector models",0.7853521828817385
The potential and limits of lay post-editing in an online community,2015.0,3,"post-editing, online",0.7353701741094074
Post-Editing Evaluations: Trade-offs between Novice and Professional Participants,2015.0,34,"post-editing dataset, trade-offs, individual speakers",0.5500862919128557
Benchmarking {SMT} Performance for {F}arsi Using the {TEP}++ Corpus,2015.0,7,"tm performance, farsi, asap++",2.0475919524587383e-05
Dynamic Terminology Integration Methods in Statistical Machine Translation,2015.0,14,"dynamic content, robust methods, statistic machine translation",0.42575096703052084
Identifying main obstacles for statistical machine translation of morphologically rich {S}outh {S}lavic languages,2015.0,12,"statistic machine translation, morphologically rich languages",0.5091345994413952
Poor man{'}s lemmatisation for automatic error classification,2015.0,2,"lemmatising, automatic error classification",0.4185184550995569
Truly Exploring Multiple References for Machine Translation Evaluation,2015.0,12,"multiple references, machine translation",0.3048736773169112
Searching for Context: a Study on Document-Level Labels for Translation Quality Estimation,2015.0,22,"prose, document-level labels, translation quality estimation",0.29936599558929455
Stripping Adjectives: Integration Techniques for Selective Stemming in {SMT} Systems,2015.0,2,"adjectives, robust methods, selective sharing, tm systems",0.4961920501714836
Evaluating machine translation for assimilation via a gap-filling task,2015.0,10,"machine translation, synth, gap-filling task",0.5620112935061485
Unsupervised training of maximum-entropy models for lexical selection in rule-based machine translation,2015.0,3,"unsupervised training, maximum-entropy models, lexical choice, rule-based machine translation",0.008421444484832641
Assessing linguistically aware fuzzy matching in translation memories,2015.0,15,"linguistically aware fuzzy matching, translation rule",0.22136075249289877
Re-assessing the {WMT}2013 Human Evaluation with Professional Translators Trainees,2015.0,7,"wmt2021, translator trainees",0.7160311414124529
"Integrating a Large, Monolingual Corpus as Translation Memory into Statistical Machine Translation",2015.0,5,"flat, monolingual corpus, translation memory, statistic machine translation",0.4939484887180656
Target-Side Generation of Prepositions for {SMT},2015.0,3,"target-side word, prepositions, statistical mt (machine translation)",9.045353488975741e-05
Word Alignment Based Parallel Corpora Evaluation and Cleaning Using Machine Learning Techniques,2015.0,11,"wordrank, written corpora project, risk, machine learning method",0.35249390159397637
Content Translation: Computer assisted translation tool for {W}ikipedia articles,2015.0,5,"chat translation, machine-aided translation tool, wikipedia data",0.6766628980659911
Pre-reordering for Statistical Machine Translation of Non-fictional Subtitles,2015.0,0,"preordering, statistic machine translation, non-fictional subtitles",0.4847658649841686
