Title,Year,citations,Scientific Entity Disambigious
"Proceedings of the 29th Pacific Asia Conference on Language, Information and Computation: Posters",2015,0,"35th pacific asia conference, language, multimedia, abstract, photo"
Identification of Sympathy in Free Conversation,2015,1,"sad, student talk"
Toward a Corpus of {C}antonese Verbal Comments and their Classification by Multi-dimensional Analysis,2015,1,"pod, cantonese verbal comments, classification, multi-dimensional analysis"
Improved Entity Linking with User History and News Articles,2015,1,"node linking, user views, news video"
An Arguing Lexicon for Stance Classification on Short Text Comments in {C}hinese,2015,0,"deep lexicon, stance classification, text documents, pinyin"
Learning Sentential Patterns of Various Rhetoric Moves for Assisted Academic Writing,2015,1,"sentential amr, discourse new, assisted academic writing"
{I}dioms: Formally Flexible but Semantically Non-transparent,2015,3,"idioms, formality, semantically non-transparent"
Asymmetries in Scrambling and Distinctness of Copies,2015,0,"asymmetries, it, distinctness of copies"
Detecting an Infant{'}s Developmental Reactions in Reviews on Picture Books,2015,2,"infant's developmental reactions, review, picture book"
Semi-automatic Filtering of Translation Errors in Triangle Corpus,2015,1,"semi-automatic linking, errors in texts, beamr"
Cross-language Projection of Dependency Trees for Tree-to-tree Machine Translation,2015,4,"cross-linguistic markers, discourse tree, tree-to-tree translation model"
Realignment from Finer-grained Alignment to Coarser-grained Alignment to Enhance {M}ongolian-{C}hinese {SMT},2015,1,"realignment, fine-grained control, arabic-italian smt"
Finding the Origin of a Translated Historical Document,2015,1,"age, translation initiative"
Improving the Performance of an Example-Based Machine Translation System Using a Domain-specific Bilingual Lexicon,2015,2,"performing, example-based rough translation, bilingual person-name lexicons"
A Multifactorial Analysis of {E}nglish Particle Movement in {K}orean {EFL} Learners{'} Writings,2015,1,"multifactorial analysis, english particle movement, korean efl learners"
An Efficient Annotation for Phrasal Verbs using Dependency Information,2015,3,"annotation, phrasal verbs, dependency context"
Color Aesthetics and Social Networks in Complete Tang Poems: Explorations and Discoveries,2015,8,"color aesthetics, social network, complete tang poems, explorations, plots"
{K}orean {T}witter Emotion Classification Using Automatically Built Emotion Lexicons and Fine-Grained Features,2015,13,"greek twitter, emotion terms, machine-readable lexicons, fine-grained features"
{C}hinese Word Segmentation based on analogy and majority voting,2015,2,"chinese word segmentation, gaps, majority voting"
Enhancing Root Extractors Using Light Stemmers,2015,9,"rote extractor, stemmers"
Where Morphological Complexity Matters,2015,0,morphological types
Distinguishing between True and False Stories using various Linguistic Features,2015,0,"fairytaleqa, false friends, linguistic traits"
Bilingually motivated segmentation and generation of word translations using relatively small translation data sets,2015,3,"bilingually motivated domain, adaptation of texts, large data set"
Selecting Contextual Peripheral Information for Answer Presentation: The Need for Pragmatic Models,2015,1,"contextual cues, answer choices, pragmatic models"
{R}eal{T}ext-asg: A Model to Present Answers Utilizing the Linguistic Structure of Source Question,2015,3,"xml:tm, hp, gems, linguistic models, source tree"
Learning under Covariate Shift for Domain Adaptation for Word Sense Disambiguation,2015,4,"covariate shift, domain adaptive, word sense ambiguation"
Unsupervised Domain Adaptation for Word Sense Disambiguation using Stacked Denoising Autoencoder,2015,5,"unsupervised domain adaptation, word sense ambiguation, stacked denoising autoencoder"
Construction of Semantic Collocation Bank Based on Semantic Dependency Parsing,2015,1,"word collocation, phrase dependency parsing"
Dynamic Semantics for Intensification and Epistemic Necessity: The Case of Y{\'\i}d{\`\i}ng and Sh{\`\i}b{\`\i} in {M}andarin {C}hinese,2015,1,"dynamic logic, intensification, epistemic must, yor\`ub\'a, sh\`\ib\`\i, mandarin chinese"
A Corpus-based Comparatively Study on the Semantic Features and Syntactic patterns of Y{\`o}u/H{\'a}i in {M}andarin {C}hinese,2015,0,"pod, semantic value, syntactic patterns, yor\`ub\'a, mandarin chinese"
An Empirical Study on Sentiment Classification of {C}hinese Review using Word Embedding,2015,26,"empirical study, it strategy, chinese web, word embedding"
Polarity Classification of Short Product Reviews via Multiple Cluster-based {SVM} Classifiers,2015,9,"polarity association, product review, multiple cluster-based svm classifiers"
Automatic Classification of Spoken Languages using Diverse Acoustic Features,2015,2,"automatic ranking, major languages, classical features"
The Syntactic and Semantic Analysis of H{\v{e}}n {X} Constructions in Spoken Corpora,2015,0,"syntactic analysis, semantic memory, p\=aṇini, ud corpora"
Methods and Tool for Constructing Phonetically-Balanced Materials for Speech Perception Testing: A Development of {T}hai Sentence-Length Materials,2015,2,"flow, coil, organize, phonetically-balanced materials, human speech production, health, thai sentence-length materials"
Graph Theoretic Features of the Adult Mental lexicon Predict Language Production in {M}andarin: Clustering Coefficient,2015,0,"graph theoretic features, mental lexicon, language music, pinyin, clustering effects"
Feature Reduction Using Ensemble Approach,2015,0,"feature reduction, ensemble approach"
"Measuring Popularity of Machine-Generated Sentences Using Term Count, Document Frequency, and Dependency Language Model",2015,2,"mo, machine-generated sentences, my term, it standards, label language model"
Acquiring distributed representations for verb-object pairs by using word2vec,2015,1,"dual representation, verb-object pairs, gov2vec"
Dependency parsing for {C}hinese long sentence: A second-stage main structure parsing method,2015,0,"dependency parsing, chinese long sentence, two-phase parsing"
