Title,Year,Important Words,Citations,Log_Citations,Quartile,Filtered Words,Novelty Score
"Proceedings of the 29th Pacific Asia Conference on Language, Information and Computation: Posters",2015.0,"29th pacific asia conference, english, information, computation, posters",0.0,0.0,Q1,"['english', 'information', 'computation', 'posters']",0.4807315916985088
Toward a Corpus of {C}antonese Verbal Comments and their Classification by Multi-dimensional Analysis,2015.0,"corpus, cantonese verbal comments, classification, multidimensional analysis",1.0,0.6931471805599453,Q1,"['corpus', 'classification']",0.6087576899647443
Improved Entity Linking with User History and News Articles,2015.0,"entity linkage, user history, news article",1.0,0.6931471805599453,Q1,"['user history', 'news article']",0.6912332075704792
An Arguing Lexicon for Stance Classification on Short Text Comments in {C}hinese,2015.0,"arguing lexicon, type classification, short text, chinese",0.0,0.0,Q1,"['type classification', 'short text', 'chinese']",0.4347389663515659
{I}dioms: Formally Flexible but Semantically Non-transparent,2015.0,"idiom, formally flexible, semantically non-transparent",3.0,1.3862943611198906,Q2,['idiom'],0.3137099423020303
Asymmetries in Scrambling and Distinctness of Copies,2015.0,"asymmetry, autoling, distinctness of copies",0.0,0.0,Q1,['asymmetry'],0.005900989950043178
Detecting an Infant{'}s Developmental Reactions in Reviews on Picture Books,2015.0,"infants' developmental stages, review, picture book",2.0,1.0986122886681098,Q1,"['review', 'picture book']",0.5123275053564138
Semi-automatic Filtering of Translation Errors in Triangle Corpus,2015.0,"german plays, translation error, triangle corpus",1.0,0.6931471805599453,Q1,['translation error'],0.43653469485677054
Cross-language Projection of Dependency Trees for Tree-to-tree Machine Translation,2015.0,"cross-language projection, dependency tree, tree-to-tree model",4.0,1.6094379124341005,Q2,"['cross-language projection', 'dependency tree']",0.38444659110319146
Realignment from Finer-grained Alignment to Coarser-grained Alignment to Enhance {M}ongolian-{C}hinese {SMT},2015.0,"realignment, data transfer, data transfer, mongolian",1.0,0.6931471805599453,Q1,['mongolian'],0.8567557749936395
Finding the Origin of a Translated Historical Document,2015.0,"origin, translated historical document",1.0,0.6931471805599453,Q1,['origin'],0.4794819553635866
Improving the Performance of an Example-Based Machine Translation System Using a Domain-specific Bilingual Lexicon,2015.0,"performance, example-translation system, domain-specific bilingual lexicon",2.0,1.0986122886681098,Q1,"['performance', 'domain-specific bilingual lexicon']",0.4872752260964622
An Efficient Annotation for Phrasal Verbs using Dependency Information,2015.0,"annotate, phrasal verbs, dependency data",3.0,1.3862943611198906,Q2,"['annotate', 'phrasal verbs']",0.46945635710421874
Color Aesthetics and Social Networks in Complete Tang Poems: Explorations and Discoveries,2015.0,"color aesthetics, social network, complete tang poems, exploring, discovery",8.0,2.19722457733622,Q3,"['social network', 'exploring', 'discovery']",0.4115994071735667
{K}orean {T}witter Emotion Classification Using Automatically Built Emotion Lexicons and Fine-Grained Features,2015.0,"korean twitter, emotion categories, lexicon-based sentiment analysis, fine-grained features",13.0,2.6390573296152584,Q3,['lexicon-based sentiment analysis'],0.24219708038175958
{C}hinese Word Segmentation based on analogy and majority voting,2015.0,"chronus system, analogy, majority vote",2.0,1.0986122886681098,Q1,"['analogy', 'majority vote']",0.30852110685524176
Where Morphological Complexity Matters,2015.0,morphological complexity,0.0,0.0,Q1,['morphological complexity'],0.6632847655487174
Distinguishing between True and False Stories using various Linguistic Features,2015.0,"true stories, fake claims, experimenting",0.0,0.0,Q1,['experimenting'],0.0027255312394077746
{R}eal{T}ext-asg: A Model to Present Answers Utilizing the Linguistic Structure of Source Question,2015.0,"realtext-asg, model, answer, linguistic structure, source context",3.0,1.3862943611198906,Q2,"['model', 'answer', 'linguistic structure']",0.7152942667151011
Learning under Covariate Shift for Domain Adaptation for Word Sense Disambiguation,2015.0,"covariate shift, domain adaptation, word sense disambiguation",4.0,1.6094379124341005,Q2,"['domain adaptation', 'word sense disambiguation']",0.4074640862135362
