Title,Year,Important Words,Citations,Log_Citations,Quartile,Filtered Words,Novelty Score
"Proceedings of the 29th Pacific Asia Conference on Language, Information and Computation: Posters",2015.0,"29th pacific asia conference, english, information, computation, posters",0.0,0.0,Q1,"['english', 'information', 'computation', 'posters']",0.3834333037240086
Toward a Corpus of {C}antonese Verbal Comments and their Classification by Multi-dimensional Analysis,2015.0,"corpus, cantonese verbal comments, classification, multidimensional analysis",1.0,0.6931471805599453,Q1,"['corpus', 'classification']",0.5704119848202127
Improved Entity Linking with User History and News Articles,2015.0,"entity linkage, user history, news article",1.0,0.6931471805599453,Q1,"['user history', 'news article']",0.4152856609919263
An Arguing Lexicon for Stance Classification on Short Text Comments in {C}hinese,2015.0,"arguing lexicon, type classification, short text, chinese",0.0,0.0,Q1,"['type classification', 'short text', 'chinese']",0.5506961372782998
{I}dioms: Formally Flexible but Semantically Non-transparent,2015.0,"idiom, formally flexible, semantically non-transparent",3.0,1.3862943611198906,Q1,['idiom'],0.6594012388748645
Asymmetries in Scrambling and Distinctness of Copies,2015.0,"asymmetry, autoling, distinctness of copies",0.0,0.0,Q1,['asymmetry'],2.1122345536417345e-05
Detecting an Infant{'}s Developmental Reactions in Reviews on Picture Books,2015.0,"infants' developmental stages, review, picture book",2.0,1.0986122886681098,Q1,"['review', 'picture book']",0.3101176361237846
Semi-automatic Filtering of Translation Errors in Triangle Corpus,2015.0,"german plays, translation error, triangle corpus",1.0,0.6931471805599453,Q1,['translation error'],0.6800455946659121
Cross-language Projection of Dependency Trees for Tree-to-tree Machine Translation,2015.0,"cross-language projection, dependency tree, tree-to-tree model",4.0,1.6094379124341005,Q1,"['cross-language projection', 'dependency tree']",0.226788186581459
Finding the Origin of a Translated Historical Document,2015.0,"origin, translated historical document",1.0,0.6931471805599453,Q1,['origin'],0.3475335901035737
Improving the Performance of an Example-Based Machine Translation System Using a Domain-specific Bilingual Lexicon,2015.0,"performance, example-translation system, domain-specific bilingual lexicon",2.0,1.0986122886681098,Q1,"['performance', 'domain-specific bilingual lexicon']",0.7332910075696067
An Efficient Annotation for Phrasal Verbs using Dependency Information,2015.0,"annotate, phrasal verbs, dependency data",3.0,1.3862943611198906,Q1,"['annotate', 'phrasal verbs']",0.2854149554170206
Color Aesthetics and Social Networks in Complete Tang Poems: Explorations and Discoveries,2015.0,"color aesthetics, social network, complete tang poems, exploring, discovery",8.0,2.19722457733622,Q2,"['social network', 'exploring', 'discovery']",0.4704861330636809
{K}orean {T}witter Emotion Classification Using Automatically Built Emotion Lexicons and Fine-Grained Features,2015.0,"korean twitter, emotion categories, lexicon-based sentiment analysis, fine-grained features",13.0,2.6390573296152584,Q2,['lexicon-based sentiment analysis'],0.0857576251360285
{C}hinese Word Segmentation based on analogy and majority voting,2015.0,"chronus system, analogy, majority vote",2.0,1.0986122886681098,Q1,"['analogy', 'majority vote']",0.156051837335119
Where Morphological Complexity Matters,2015.0,morphological complexity,0.0,0.0,Q1,['morphological complexity'],0.7463594111670779
{R}eal{T}ext-asg: A Model to Present Answers Utilizing the Linguistic Structure of Source Question,2015.0,"realtext-asg, model, answer, linguistic structure, source context",3.0,1.3862943611198906,Q1,"['model', 'answer', 'linguistic structure']",0.4792848466500468
Learning under Covariate Shift for Domain Adaptation for Word Sense Disambiguation,2015.0,"covariate shift, domain adaptation, word sense disambiguation",4.0,1.6094379124341005,Q1,"['covariate shift', 'domain adaptation', 'word sense disambiguation']",0.5738467961789938
Unsupervised Domain Adaptation for Word Sense Disambiguation using Stacked Denoising Autoencoder,2015.0,"knowledge objects, word sense disambiguation, stacked denoising autoencoder",5.0,1.791759469228055,Q1,['word sense disambiguation'],0.3171972395743532
Dynamic Semantics for Intensification and Epistemic Necessity: The Case of Y{\'\i}d{\`\i}ng and Sh{\`\i}b{\`\i} in {M}andarin {C}hinese,2015.0,"dynamic semantics, intensification, epistemicity, y'\id\`\ing, sh\`\ib\`\i, chinese mandarin",1.0,0.6931471805599453,Q1,['dynamic semantics'],6.300658983993124e-06
A Corpus-based Comparatively Study on the Semantic Features and Syntactic patterns of Y{\`o}u/H{\'a}i in {M}andarin {C}hinese,2015.0,"corpus, semantic feature, syntactic patterns, y\`ou/h\'ai, chinese mandarin",0.0,0.0,Q1,"['corpus', 'semantic feature', 'syntactic patterns']",0.2855649835972822
An Empirical Study on Sentiment Classification of {C}hinese Review using Word Embedding,2015.0,"emprical study, extracting data, chinese review, word embedding",26.0,3.295836866004329,Q2,"['chinese review', 'word embedding']",0.4836355194735394
Automatic Classification of Spoken Languages using Diverse Acoustic Features,2015.0,"automatic categorization, spoken language, acoustic features",2.0,1.0986122886681098,Q1,"['spoken language', 'acoustic features']",0.3780023531333813
The Syntactic and Semantic Analysis of H{\v{e}}n {X} Constructions in Spoken Corpora,2015.0,"syntactic analysis, semantic analysis, h\ven x constructions, business",0.0,0.0,Q1,"['syntactic analysis', 'semantic analysis', 'business']",0.2452410546669323
Methods and Tool for Constructing Phonetically-Balanced Materials for Speech Perception Testing: A Development of {T}hai Sentence-Length Materials,2015.0,"method, tool, constructing, phonetically-balanced materials, speech perceiver, develop, thai sentence",2.0,1.0986122886681098,Q1,"['method', 'tool', 'constructing', 'develop', 'thai sentence']",0.2539186996603587
Graph Theoretic Features of the Adult Mental lexicon Predict Language Production in {M}andarin: Clustering Coefficient,2015.0,"graph theoretic features, adult mental lexicon, language product, mandarin, clustering coefficient",0.0,0.0,Q1,"['language product', 'mandarin']",0.4125507196464654
"Measuring Popularity of Machine-Generated Sentences Using Term Count, Document Frequency, and Dependency Language Model",2015.0,"popularity, machine-generated sentences, term count, document frequency, dependency language model",2.0,1.0986122886681098,Q1,"['document frequency', 'dependency language model']",0.1496335092102075
Acquiring distributed representations for verb-object pairs by using word2vec,2015.0,"distributed representation, verb-object pairs, word2vec",1.0,0.6931471805599453,Q1,"['distributed representation', 'word2vec']",0.708189926657899
Dependency parsing for {C}hinese long sentence: A second-stage main structure parsing method,2015.0,"dependency parses, chinese long sentence, two-stage parser",0.0,0.0,Q1,['dependency parses'],0.1347089040286211
A Machine Learning Method to Distinguish Machine Translation from Human Translation,2015.0,"machine-learning, machine translate, human translation",8.0,2.19722457733622,Q2,"['machine translate', 'human translation']",0.6828455222725212
"Proceedings of the 29th Pacific Asia Conference on Language, Information and Computation",2015.0,"29th pacific asia conference, english, information, computation",0.0,0.0,Q1,"['english', 'information', 'computation']",0.4011580561605121
Two-level Word Class Categorization Model in Analytic Languages and Its Implications for {POS} Tagging in {M}odern {C}hinese Corpora,2015.0,"two-level classifier, analytic languages, implication, pos tagging, chinese corpora",0.0,0.0,Q1,"['implication', 'pos tagging', 'chinese corpora']",0.2715824874727773
A Review of Corpus-based Statistical Models of Language Variation,2015.0,"corpus-based statistical models, language variation, review",1.0,0.6931471805599453,Q1,"['language variation', 'review']",0.7044420321905002
Translation of Unseen Bigrams by Analogy Using an {SVM} Classifier,2015.0,"unseen bigrams, analogy, svm classifier",0.0,0.0,Q1,"['analogy', 'svm classifier']",0.3861579145899299
Machine Translation Experiments on {PADIC}: A Parallel {A}rabic {DI}alect Corpus,2015.0,"machine translate, padic, black & white",62.0,4.143134726391533,Q3,['machine translate'],0.6928981658583717
Computing Semantic Text Similarity Using Rich Features,2015.0,"computing, semantic text similarity, rich features",8.0,2.19722457733622,Q2,"['computing', 'semantic text similarity', 'rich features']",0.1462064304611359
{M}echanical {T}urk-based Experiment vs Laboratory-based Experiment: A Case Study on the Comparison of Semantic Transparency Rating Data,2015.0,"mechanical turk-based experiment, laboratory-based experiment, semantic transparency, casestudy, comparison",13.0,2.6390573296152584,Q2,"['semantic transparency', 'comparison']",0.254107484076145
Discourse Relation Recognition by Comparing Various Units of Sentence Expression with Recursive Neural Network,2015.0,"discourse predictions, speeches, recursive neural network",1.0,0.6931471805599453,Q1,"['speeches', 'recursive neural network']",0.6961000697320278
Bidirectional Long Short-Term Memory Networks for Relation Classification,2015.0,"bidirectional long short-term memory models, relation classification",157.0,5.062595033026967,Q4,['relation classification'],0.7891117412750509
Distant Supervision for Entity Linking,2015.0,"distant supervision, entity linkage",10.0,2.3978952727983707,Q2,['distant supervision'],0.7481858462062669
Fast and Large-scale Unsupervised Relation Extraction,2015.0,"fast, large-scale, unsupervised relation extraction",7.0,2.079441541679836,Q1,"['fast', 'large-scale', 'unsupervised relation extraction']",0.5071616503409442
Reducing Lexical Features in Parsing by Word Embeddings,2015.0,"lexical features, parses, word embeddings",3.0,1.3862943611198906,Q1,"['lexical features', 'parses', 'word embeddings']",0.4926061988471749
Unsupervised and Lightly Supervised Part-of-Speech Tagging Using Recurrent Neural Networks,2015.0,"unsupervised, lightly superviced, part-of-speech tagging, recurrent networks",15.0,2.772588722239781,Q2,"['unsupervised', 'part-of-speech tagging']",0.4965869761330154
Identifying Prepositional Phrases in {C}hinese Patent Texts with Rule-based and {CRF} Methods,2015.0,"iwslt-2009 mt system, chinese patent texts, rule-based method, crf methods",0.0,0.0,Q1,['rule-based method'],0.4679253742904344
Is {W}ikipedia Really Neutral? A Sentiment Perspective Study of War-related {W}ikipedia Articles since 1945,2015.0,"wikipedia, sentiment analysis, war-related wikipedia articles, 1945",4.0,1.6094379124341005,Q1,"['wikipedia', 'sentiment analysis']",0.6132153701839071
Sentiment Analyzer with Rich Features for Ironic and Sarcastic Tweets,2015.0,"classification, rich features, ironic tweets, sarcastic memes",6.0,1.9459101490553128,Q1,"['classification', 'rich features']",0.4217817383344741
Sentiment Classification of {A}rabic Documents: Experiments with multi-type features and ensemble algorithms,2015.0,"extracting data, arabic documents, multifeature, algorithms",24.0,3.218875824868201,Q2,"['arabic documents', 'algorithms']",0.1274163135682434
The Invertible Construction in {C}hinese,2015.0,"invertible construction, chinese",0.0,0.0,Q1,['chinese'],0.3556185150085487
A Comparative Study on {M}andarin and {C}antonese Resultative Verb Compounds,2015.0,"comparative, mandarin, cantonese, resultative verb compounds",0.0,0.0,Q1,"['comparative', 'mandarin', 'cantonese']",0.4730244767846183
Complex-{NP} Islands in {K}orean: An Experimental Approach,2015.0,"complex-np islands, korean, experimental approach",4.0,1.6094379124341005,Q1,"['korean', 'experimental approach']",0.1724477094105963
Two Types of Multiple Subject Constructions ({MSC}s) in {K}orean,2015.0,"multiple subject constructions (mscs), korean",1.0,0.6931471805599453,Q1,['korean'],0.3419861138782298
{E}nglish to {C}hinese Translation: How {C}hinese Character Matters,2015.0,"english, chinese to english, chinese character",3.0,1.3862943611198906,Q1,"['english', 'chinese character']",0.3713723914364593
Well-Formed Dependency to String translation with {BTG} Grammar,2015.0,"well-formed dependency, string translation, btg grammar",0.0,0.0,Q1,['string translation'],0.1312892031332441
Annotation and Classification of {F}rench Feedback Communicative Functions,2015.0,"annotate, classification, french feedback, communicative functions",7.0,2.079441541679836,Q1,"['annotate', 'classification']",0.5951987789588756
Automatic conversion of sentence-end expressions for utterance characterization of dialogue systems,2015.0,"automatic converter, sentence-end expressions, utterance classification, punjabi alphabet",12.0,2.5649493574615367,Q2,['utterance classification'],2.341604020794641e-06
