Title,Year,Important Words,Citations,Log_Citations,Quartile,Filtered Words,Novelty Score
"Proceedings of the 29th Pacific Asia Conference on Language, Information and Computation: Posters",2015.0,"29th pacific asia conference, english, information, computation, posters",0.0,0.0,Q1,"['english', 'information', 'posters']",0.02050962440616557
Toward a Corpus of {C}antonese Verbal Comments and their Classification by Multi-dimensional Analysis,2015.0,"corpus, cantonese verbal comments, classification, multidimensional analysis",1.0,0.6931471805599453,Q1,"['corpus', 'classification']",0.21585974850653641
Improved Entity Linking with User History and News Articles,2015.0,"entity linkage, user history, news article",1.0,0.6931471805599453,Q1,['news article'],0.8195104348260253
An Arguing Lexicon for Stance Classification on Short Text Comments in {C}hinese,2015.0,"arguing lexicon, type classification, short text, chinese",0.0,0.0,Q1,"['type classification', 'short text', 'chinese']",0.08102737555966809
{I}dioms: Formally Flexible but Semantically Non-transparent,2015.0,"idiom, formally flexible, semantically non-transparent",3.0,1.3862943611198906,Q2,['idiom'],0.1232109545594466
Detecting an Infant{'}s Developmental Reactions in Reviews on Picture Books,2015.0,"infants' developmental stages, review, picture book",2.0,1.0986122886681098,Q1,['review'],0.24285169764648948
Semi-automatic Filtering of Translation Errors in Triangle Corpus,2015.0,"german plays, translation error, triangle corpus",1.0,0.6931471805599453,Q1,['translation error'],0.6128325121619933
Cross-language Projection of Dependency Trees for Tree-to-tree Machine Translation,2015.0,"cross-language projection, dependency tree, tree-to-tree model",4.0,1.6094379124341005,Q2,['dependency tree'],0.5131978079413774
Realignment from Finer-grained Alignment to Coarser-grained Alignment to Enhance {M}ongolian-{C}hinese {SMT},2015.0,"realignment, data transfer, data transfer, mongolian",1.0,0.6931471805599453,Q1,['mongolian'],0.008391757842020394
Finding the Origin of a Translated Historical Document,2015.0,"origin, translated historical document",1.0,0.6931471805599453,Q1,['origin'],0.3231586589134335
Improving the Performance of an Example-Based Machine Translation System Using a Domain-specific Bilingual Lexicon,2015.0,"performance, example-translation system, domain-specific bilingual lexicon",2.0,1.0986122886681098,Q1,['performance'],0.020623171707858393
An Efficient Annotation for Phrasal Verbs using Dependency Information,2015.0,"annotate, phrasal verbs, dependency data",3.0,1.3862943611198906,Q2,"['annotate', 'phrasal verbs']",0.4031682251036728
Color Aesthetics and Social Networks in Complete Tang Poems: Explorations and Discoveries,2015.0,"color aesthetics, social network, complete tang poems, exploring, discovery",8.0,2.19722457733622,Q3,"['social network', 'discovery']",0.2789010985589045
{C}hinese Word Segmentation based on analogy and majority voting,2015.0,"chronus system, analogy, majority vote",2.0,1.0986122886681098,Q1,['analogy'],0.0018883159948338698
{R}eal{T}ext-asg: A Model to Present Answers Utilizing the Linguistic Structure of Source Question,2015.0,"realtext-asg, model, answer, linguistic structure, source context",3.0,1.3862943611198906,Q2,"['model', 'answer', 'linguistic structure']",0.027974227687947634
Learning under Covariate Shift for Domain Adaptation for Word Sense Disambiguation,2015.0,"covariate shift, domain adaptation, word sense disambiguation",4.0,1.6094379124341005,Q2,"['domain adaptation', 'word sense disambiguation']",0.19020253520664415
