Title,Year,Important Words,Citations,Log_Citations,Quartile,Filtered Words,Novelty Score
"Proceedings of the 29th Pacific Asia Conference on Language, Information and Computation: Posters",2015.0,"29th pacific asia conference, english, information, computation, posters",0.0,0.0,Q1,"['english', 'information', 'computation', 'posters']",0.3847303112302547
Toward a Corpus of {C}antonese Verbal Comments and their Classification by Multi-dimensional Analysis,2015.0,"corpus, cantonese verbal comments, classification, multidimensional analysis",1.0,0.6931471805599453,Q1,"['corpus', 'classification']",0.5669565113635526
Improved Entity Linking with User History and News Articles,2015.0,"entity linkage, user history, news article",1.0,0.6931471805599453,Q1,"['user history', 'news article']",0.4155087623023464
An Arguing Lexicon for Stance Classification on Short Text Comments in {C}hinese,2015.0,"arguing lexicon, type classification, short text, chinese",0.0,0.0,Q1,"['type classification', 'short text', 'chinese']",0.5456705435202055
{I}dioms: Formally Flexible but Semantically Non-transparent,2015.0,"idiom, formally flexible, semantically non-transparent",3.0,1.3862943611198906,Q2,['idiom'],0.6594012388748645
Asymmetries in Scrambling and Distinctness of Copies,2015.0,"asymmetry, autoling, distinctness of copies",0.0,0.0,Q1,['asymmetry'],2.1122345536417342e-05
Detecting an Infant{'}s Developmental Reactions in Reviews on Picture Books,2015.0,"infants' developmental stages, review, picture book",2.0,1.0986122886681098,Q1,"['review', 'picture book']",0.31138728962737816
Semi-automatic Filtering of Translation Errors in Triangle Corpus,2015.0,"german plays, translation error, triangle corpus",1.0,0.6931471805599453,Q1,['translation error'],0.6800455946659121
Cross-language Projection of Dependency Trees for Tree-to-tree Machine Translation,2015.0,"cross-language projection, dependency tree, tree-to-tree model",4.0,1.6094379124341005,Q2,"['cross-language projection', 'dependency tree']",0.227333109757687
Finding the Origin of a Translated Historical Document,2015.0,"origin, translated historical document",1.0,0.6931471805599453,Q1,['origin'],0.34753359010357376
Improving the Performance of an Example-Based Machine Translation System Using a Domain-specific Bilingual Lexicon,2015.0,"performance, example-translation system, domain-specific bilingual lexicon",2.0,1.0986122886681098,Q1,"['performance', 'domain-specific bilingual lexicon']",0.7325144678566704
An Efficient Annotation for Phrasal Verbs using Dependency Information,2015.0,"annotate, phrasal verbs, dependency data",3.0,1.3862943611198906,Q2,"['annotate', 'phrasal verbs']",0.2867978798940102
Color Aesthetics and Social Networks in Complete Tang Poems: Explorations and Discoveries,2015.0,"color aesthetics, social network, complete tang poems, exploring, discovery",8.0,2.19722457733622,Q3,"['social network', 'exploring', 'discovery']",0.47066230189495856
{K}orean {T}witter Emotion Classification Using Automatically Built Emotion Lexicons and Fine-Grained Features,2015.0,"korean twitter, emotion categories, lexicon-based sentiment analysis, fine-grained features",13.0,2.6390573296152584,Q3,['lexicon-based sentiment analysis'],0.08575762513602858
{C}hinese Word Segmentation based on analogy and majority voting,2015.0,"chronus system, analogy, majority vote",2.0,1.0986122886681098,Q1,"['analogy', 'majority vote']",0.15467205261014072
Where Morphological Complexity Matters,2015.0,morphological complexity,0.0,0.0,Q1,['morphological complexity'],0.7463594111670779
Distinguishing between True and False Stories using various Linguistic Features,2015.0,"true stories, fake claims, experimenting",0.0,0.0,Q1,['experimenting'],2.3150551919925988e-07
{R}eal{T}ext-asg: A Model to Present Answers Utilizing the Linguistic Structure of Source Question,2015.0,"realtext-asg, model, answer, linguistic structure, source context",3.0,1.3862943611198906,Q2,"['model', 'answer', 'linguistic structure']",0.48842652284231586
Learning under Covariate Shift for Domain Adaptation for Word Sense Disambiguation,2015.0,"covariate shift, domain adaptation, word sense disambiguation",4.0,1.6094379124341005,Q2,"['covariate shift', 'domain adaptation', 'word sense disambiguation']",0.5724726750395518
Unsupervised Domain Adaptation for Word Sense Disambiguation using Stacked Denoising Autoencoder,2015.0,"knowledge objects, word sense disambiguation, stacked denoising autoencoder",5.0,1.791759469228055,Q2,['word sense disambiguation'],0.3171972395743532
Construction of Semantic Collocation Bank Based on Semantic Dependency Parsing,2015.0,"semantic collocation, phrase dependency parsing",1.0,0.6931471805599453,Q1,['semantic collocation'],0.003434129135594155
Dynamic Semantics for Intensification and Epistemic Necessity: The Case of Y{\'\i}d{\`\i}ng and Sh{\`\i}b{\`\i} in {M}andarin {C}hinese,2015.0,"dynamic semantics, intensification, epistemicity, y'\id\`\ing, sh\`\ib\`\i, chinese mandarin",1.0,0.6931471805599453,Q1,['dynamic semantics'],6.300658983993124e-06
A Corpus-based Comparatively Study on the Semantic Features and Syntactic patterns of Y{\`o}u/H{\'a}i in {M}andarin {C}hinese,2015.0,"corpus, semantic feature, syntactic patterns, y\`ou/h\'ai, chinese mandarin",0.0,0.0,Q1,"['corpus', 'semantic feature', 'syntactic patterns']",0.29121682521097686
An Empirical Study on Sentiment Classification of {C}hinese Review using Word Embedding,2015.0,"emprical study, extracting data, chinese review, word embedding",26.0,3.295836866004329,Q4,"['chinese review', 'word embedding']",0.4842210348434026
