title,url,year,citations
"Proceedings of the 29th Pacific Asia Conference on Language, Information and Computation: Posters",https://aclanthology.org/Y15-2000,2015,0
Identification of Sympathy in Free Conversation,https://aclanthology.org/Y15-2001,2015,1
Toward a Corpus of {C}antonese Verbal Comments and their Classification by Multi-dimensional Analysis,https://aclanthology.org/Y15-2002,2015,1
Improved Entity Linking with User History and News Articles,https://aclanthology.org/Y15-2003,2015,1
An Arguing Lexicon for Stance Classification on Short Text Comments in {C}hinese,https://aclanthology.org/Y15-2004,2015,0
Learning Sentential Patterns of Various Rhetoric Moves for Assisted Academic Writing,https://aclanthology.org/Y15-2005,2015,1
{I}dioms: Formally Flexible but Semantically Non-transparent,https://aclanthology.org/Y15-2006,2015,3
Asymmetries in Scrambling and Distinctness of Copies,https://aclanthology.org/Y15-2007,2015,0
Detecting an Infant{'}s Developmental Reactions in Reviews on Picture Books,https://aclanthology.org/Y15-2008,2015,2
Semi-automatic Filtering of Translation Errors in Triangle Corpus,https://aclanthology.org/Y15-2009,2015,1
Cross-language Projection of Dependency Trees for Tree-to-tree Machine Translation,https://aclanthology.org/Y15-2010,2015,4
Realignment from Finer-grained Alignment to Coarser-grained Alignment to Enhance {M}ongolian-{C}hinese {SMT},https://aclanthology.org/Y15-2011,2015,1
Finding the Origin of a Translated Historical Document,https://aclanthology.org/Y15-2012,2015,1
Improving the Performance of an Example-Based Machine Translation System Using a Domain-specific Bilingual Lexicon,https://aclanthology.org/Y15-2013,2015,2
A Multifactorial Analysis of {E}nglish Particle Movement in {K}orean {EFL} Learners{'} Writings,https://aclanthology.org/Y15-2014,2015,1
An Efficient Annotation for Phrasal Verbs using Dependency Information,https://aclanthology.org/Y15-2015,2015,3
Color Aesthetics and Social Networks in Complete Tang Poems: Explorations and Discoveries,https://aclanthology.org/Y15-2016,2015,8
{K}orean {T}witter Emotion Classification Using Automatically Built Emotion Lexicons and Fine-Grained Features,https://aclanthology.org/Y15-2017,2015,13
{C}hinese Word Segmentation based on analogy and majority voting,https://aclanthology.org/Y15-2018,2015,2
Enhancing Root Extractors Using Light Stemmers,https://aclanthology.org/Y15-2019,2015,9
Where Morphological Complexity Matters,https://aclanthology.org/Y15-2020,2015,0
Distinguishing between True and False Stories using various Linguistic Features,https://aclanthology.org/Y15-2021,2015,0
Bilingually motivated segmentation and generation of word translations using relatively small translation data sets,https://aclanthology.org/Y15-2022,2015,3
Selecting Contextual Peripheral Information for Answer Presentation: The Need for Pragmatic Models,https://aclanthology.org/Y15-2023,2015,1
{R}eal{T}ext-asg: A Model to Present Answers Utilizing the Linguistic Structure of Source Question,https://aclanthology.org/Y15-2024,2015,3
Learning under Covariate Shift for Domain Adaptation for Word Sense Disambiguation,https://aclanthology.org/Y15-2025,2015,4
Unsupervised Domain Adaptation for Word Sense Disambiguation using Stacked Denoising Autoencoder,https://aclanthology.org/Y15-2026,2015,5
Construction of Semantic Collocation Bank Based on Semantic Dependency Parsing,https://aclanthology.org/Y15-2027,2015,1
Dynamic Semantics for Intensification and Epistemic Necessity: The Case of Y{\'\i}d{\`\i}ng and Sh{\`\i}b{\`\i} in {M}andarin {C}hinese,https://aclanthology.org/Y15-2028,2015,1
A Corpus-based Comparatively Study on the Semantic Features and Syntactic patterns of Y{\`o}u/H{\'a}i in {M}andarin {C}hinese,https://aclanthology.org/Y15-2029,2015,0
An Empirical Study on Sentiment Classification of {C}hinese Review using Word Embedding,https://aclanthology.org/Y15-2030,2015,26
Polarity Classification of Short Product Reviews via Multiple Cluster-based {SVM} Classifiers,https://aclanthology.org/Y15-2031,2015,9
Automatic Classification of Spoken Languages using Diverse Acoustic Features,https://aclanthology.org/Y15-2032,2015,2
The Syntactic and Semantic Analysis of H{\v{e}}n {X} Constructions in Spoken Corpora,https://aclanthology.org/Y15-2033,2015,0
Methods and Tool for Constructing Phonetically-Balanced Materials for Speech Perception Testing: A Development of {T}hai Sentence-Length Materials,https://aclanthology.org/Y15-2034,2015,2
Graph Theoretic Features of the Adult Mental lexicon Predict Language Production in {M}andarin: Clustering Coefficient,https://aclanthology.org/Y15-2035,2015,0
Feature Reduction Using Ensemble Approach,https://aclanthology.org/Y15-2036,2015,0
"Measuring Popularity of Machine-Generated Sentences Using Term Count, Document Frequency, and Dependency Language Model",https://aclanthology.org/Y15-2037,2015,2
Acquiring distributed representations for verb-object pairs by using word2vec,https://aclanthology.org/Y15-2038,2015,1
Dependency parsing for {C}hinese long sentence: A second-stage main structure parsing method,https://aclanthology.org/Y15-2039,2015,0
A Light Rule-based Approach to {E}nglish Subject-Verb Agreement Errors on the Third Person Singular Forms,https://aclanthology.org/Y15-2040,2015,3
A Machine Learning Method to Distinguish Machine Translation from Human Translation,https://aclanthology.org/Y15-2041,2015,8
"Proceedings of the 29th Pacific Asia Conference on Language, Information and Computation",https://aclanthology.org/Y15-1000,2015,0
Two-level Word Class Categorization Model in Analytic Languages and Its Implications for {POS} Tagging in {M}odern {C}hinese Corpora,https://aclanthology.org/Y15-1001,2015,0
A Review of Corpus-based Statistical Models of Language Variation,https://aclanthology.org/Y15-1002,2015,1
Translation of Unseen Bigrams by Analogy Using an {SVM} Classifier,https://aclanthology.org/Y15-1003,2015,0
Machine Translation Experiments on {PADIC}: A Parallel {A}rabic {DI}alect Corpus,https://aclanthology.org/Y15-1004,2015,62
Surrounding Word Sense Model for {J}apanese All-words Word Sense Disambiguation,https://aclanthology.org/Y15-1005,2015,5
Computing Semantic Text Similarity Using Rich Features,https://aclanthology.org/Y15-1006,2015,8
{M}echanical {T}urk-based Experiment vs Laboratory-based Experiment: A Case Study on the Comparison of Semantic Transparency Rating Data,https://aclanthology.org/Y15-1007,2015,13
Discourse Relation Recognition by Comparing Various Units of Sentence Expression with Recursive Neural Network,https://aclanthology.org/Y15-1008,2015,1
Bidirectional Long Short-Term Memory Networks for Relation Classification,https://aclanthology.org/Y15-1009,2015,157
Distant Supervision for Entity Linking,https://aclanthology.org/Y15-1010,2015,10
Toward Algorithmic Discovery of Biographical Information in Local Gazetteers of {A}ncient {C}hina,https://aclanthology.org/Y15-1011,2015,4
Fast and Large-scale Unsupervised Relation Extraction,https://aclanthology.org/Y15-1012,2015,7
Reducing Lexical Features in Parsing by Word Embeddings,https://aclanthology.org/Y15-1013,2015,3
