Title,Year,Important Words,Citations,Log_Citations,Quartile,Novelty Score
"Proceedings of the 29th Pacific Asia Conference on Language, Information and Computation: Posters",2015,"29th pacific asia conference, english, information, computation, posters",0.0,0.0,Q1,0.992060599635665
Identification of Sympathy in Free Conversation,2015,"empathy, free conversation",1.0,0.6931471805599453,Q1,0.5
Toward a Corpus of {C}antonese Verbal Comments and their Classification by Multi-dimensional Analysis,2015,"corpus, cantonese verbal comments, classification, multidimensional analysis",1.0,0.6931471805599453,Q1,0.9999999984984562
Improved Entity Linking with User History and News Articles,2015,"entity linkage, user history, news article",1.0,0.6931471805599453,Q1,0.6789660785859801
An Arguing Lexicon for Stance Classification on Short Text Comments in {C}hinese,2015,"arguing lexicon, type classification, short text, chinese",0.0,0.0,Q1,0.12791838496816857
Learning Sentential Patterns of Various Rhetoric Moves for Assisted Academic Writing,2015,"sentential patterns, rhetoric moves, academic writing aid",1.0,0.6931471805599453,Q1,0.0
{I}dioms: Formally Flexible but Semantically Non-transparent,2015,"idiom, formally flexible, semantically non-transparent",3.0,1.3862943611198906,Q2,0.8472295248885091
Asymmetries in Scrambling and Distinctness of Copies,2015,"asymmetry, autoling, distinctness of copies",0.0,0.0,Q1,
Detecting an Infant{'}s Developmental Reactions in Reviews on Picture Books,2015,"infants' developmental stages, review, picture book",2.0,1.0986122886681098,Q1,0.9413371029688984
Semi-automatic Filtering of Translation Errors in Triangle Corpus,2015,"german plays, translation error, triangle corpus",1.0,0.6931471805599453,Q1,0.3036032173261078
Cross-language Projection of Dependency Trees for Tree-to-tree Machine Translation,2015,"cross-language projection, dependency tree, tree-to-tree model",4.0,1.6094379124341005,Q2,0.5011246703422165
Realignment from Finer-grained Alignment to Coarser-grained Alignment to Enhance {M}ongolian-{C}hinese {SMT},2015,"realignment, data transfer, data transfer, mongolian",1.0,0.6931471805599453,Q1,0.5306497762636893
Finding the Origin of a Translated Historical Document,2015,"origin, translated historical document",1.0,0.6931471805599453,Q1,0.35768434711929614
Improving the Performance of an Example-Based Machine Translation System Using a Domain-specific Bilingual Lexicon,2015,"performance, example-translation system, domain-specific bilingual lexicon",2.0,1.0986122886681098,Q1,0.8447329366855791
