Title,Year,Important Words,Citations,Log_Citations,Quartile,Filtered Words,Novelty Score
"Proceedings of the 29th Pacific Asia Conference on Language, Information and Computation: Posters",2015.0,"29th pacific asia conference, english, information, computation, posters",0.0,0.0,Q1,"['29th pacific asia conference', 'english', 'information', 'computation', 'posters']",0.5628571381098875
Identification of Sympathy in Free Conversation,2015.0,"empathy, free conversation",1.0,0.6931471805599453,Q1,"['empathy', 'free conversation']",-1.0
Toward a Corpus of {C}antonese Verbal Comments and their Classification by Multi-dimensional Analysis,2015.0,"corpus, cantonese verbal comments, classification, multidimensional analysis",1.0,0.6931471805599453,Q1,"['corpus', 'cantonese verbal comments', 'classification', 'multidimensional analysis']",0.9999999979183153
Improved Entity Linking with User History and News Articles,2015.0,"entity linkage, user history, news article",1.0,0.6931471805599453,Q1,"['entity linkage', 'user history', 'news article']",-0.56534464047134
An Arguing Lexicon for Stance Classification on Short Text Comments in {C}hinese,2015.0,"arguing lexicon, type classification, short text, chinese",0.0,0.0,Q1,"['arguing lexicon', 'type classification', 'short text', 'chinese']",0.4900729223755763
Learning Sentential Patterns of Various Rhetoric Moves for Assisted Academic Writing,2015.0,"sentential patterns, rhetoric moves, academic writing aid",1.0,0.6931471805599453,Q1,"['sentential patterns', 'rhetoric moves', 'academic writing aid']",0.0
{I}dioms: Formally Flexible but Semantically Non-transparent,2015.0,"idiom, formally flexible, semantically non-transparent",3.0,1.3862943611198906,Q2,"['idiom', 'formally flexible', 'semantically non-transparent']",0.8472295248885092
Asymmetries in Scrambling and Distinctness of Copies,2015.0,"asymmetry, autoling, distinctness of copies",0.0,0.0,Q1,"['asymmetry', 'autoling', 'distinctness of copies']",0.45692083789017623
Detecting an Infant{'}s Developmental Reactions in Reviews on Picture Books,2015.0,"infants' developmental stages, review, picture book",2.0,1.0986122886681098,Q1,"[""infants' developmental stages"", 'review', 'picture book']",0.4939671318042908
Semi-automatic Filtering of Translation Errors in Triangle Corpus,2015.0,"german plays, translation error, triangle corpus",1.0,0.6931471805599453,Q1,"['german plays', 'translation error', 'triangle corpus']",0.3036032173261078
Cross-language Projection of Dependency Trees for Tree-to-tree Machine Translation,2015.0,"cross-language projection, dependency tree, tree-to-tree model",4.0,1.6094379124341005,Q2,"['cross-language projection', 'dependency tree', 'tree-to-tree model']",0.2124679312964582
Realignment from Finer-grained Alignment to Coarser-grained Alignment to Enhance {M}ongolian-{C}hinese {SMT},2015.0,"realignment, data transfer, data transfer, mongolian",1.0,0.6931471805599453,Q1,"['realignment', 'data transfer', 'data transfer', 'mongolian']",0.06129955252737851
Finding the Origin of a Translated Historical Document,2015.0,"origin, translated historical document",1.0,0.6931471805599453,Q1,"['origin', 'translated historical document']",0.35768434711929614
Improving the Performance of an Example-Based Machine Translation System Using a Domain-specific Bilingual Lexicon,2015.0,"performance, example-translation system, domain-specific bilingual lexicon",2.0,1.0986122886681098,Q1,"['performance', 'example-translation system', 'domain-specific bilingual lexicon']",0.5068755651208192
A Multifactorial Analysis of {E}nglish Particle Movement in {K}orean {EFL} Learners{'} Writings,2015.0,"multifactorial analysis, english particles, korean efl learners",1.0,0.6931471805599453,Q1,"['multifactorial analysis', 'english particles', 'korean efl learners']",-1.0
An Efficient Annotation for Phrasal Verbs using Dependency Information,2015.0,"annotate, phrasal verbs, dependency data",3.0,1.3862943611198906,Q2,"['annotate', 'phrasal verbs', 'dependency data']",0.47394208776458147
Color Aesthetics and Social Networks in Complete Tang Poems: Explorations and Discoveries,2015.0,"color aesthetics, social network, complete tang poems, exploring, discovery",8.0,2.19722457733622,Q3,"['color aesthetics', 'social network', 'complete tang poems', 'exploring', 'discovery']",0.5123193091401217
{K}orean {T}witter Emotion Classification Using Automatically Built Emotion Lexicons and Fine-Grained Features,2015.0,"korean twitter, emotion categories, lexicon-based sentiment analysis, fine-grained features",13.0,2.6390573296152584,Q3,"['korean twitter', 'emotion categories', 'lexicon-based sentiment analysis', 'fine-grained features']",0.4223263158076576
{C}hinese Word Segmentation based on analogy and majority voting,2015.0,"chronus system, analogy, majority vote",2.0,1.0986122886681098,Q1,"['chronus system', 'analogy', 'majority vote']",0.45425672892747554
Enhancing Root Extractors Using Light Stemmers,2015.0,"rote extractor, light stemmers",9.0,2.302585092994046,Q3,"['rote extractor', 'light stemmers']",0.0
Where Morphological Complexity Matters,2015.0,morphological complexity,0.0,0.0,Q1,['morphological complexity'],-1.0
Distinguishing between True and False Stories using various Linguistic Features,2015.0,"true stories, fake claims, experimenting",0.0,0.0,Q1,"['true stories', 'fake claims', 'experimenting']",0.0
Bilingually motivated segmentation and generation of word translations using relatively small translation data sets,2015.0,"bilingually motivated domain, cuni x-ling, small data sets",3.0,1.3862943611198906,Q2,"['bilingually motivated domain', 'cuni x-ling', 'small data sets']",0.5312093733737563
Selecting Contextual Peripheral Information for Answer Presentation: The Need for Pragmatic Models,2015.0,"context parameters, answer presentation, pragmatic models",1.0,0.6931471805599453,Q1,"['context parameters', 'answer presentation', 'pragmatic models']",-1.0
{R}eal{T}ext-asg: A Model to Present Answers Utilizing the Linguistic Structure of Source Question,2015.0,"realtext-asg, model, answer, linguistic structure, source context",3.0,1.3862943611198906,Q2,"['realtext-asg', 'model', 'answer', 'linguistic structure', 'source context']",0.5704594506901957
Learning under Covariate Shift for Domain Adaptation for Word Sense Disambiguation,2015.0,"covariate shift, domain adaptation, word sense disambiguation",4.0,1.6094379124341005,Q2,"['covariate shift', 'domain adaptation', 'word sense disambiguation']",0.44515018128840506
Unsupervised Domain Adaptation for Word Sense Disambiguation using Stacked Denoising Autoencoder,2015.0,"knowledge objects, word sense disambiguation, stacked denoising autoencoder",5.0,1.791759469228055,Q2,"['knowledge objects', 'word sense disambiguation', 'stacked denoising autoencoder']",0.6512924336883378
Construction of Semantic Collocation Bank Based on Semantic Dependency Parsing,2015.0,"semantic collocation, phrase dependency parsing",1.0,0.6931471805599453,Q1,"['semantic collocation', 'phrase dependency parsing']",-1.0
Dynamic Semantics for Intensification and Epistemic Necessity: The Case of Y{\'\i}d{\`\i}ng and Sh{\`\i}b{\`\i} in {M}andarin {C}hinese,2015.0,"dynamic semantics, intensification, epistemicity, y'\id\`\ing, sh\`\ib\`\i, chinese mandarin",1.0,0.6931471805599453,Q1,"['dynamic semantics', 'intensification', 'epistemicity', ""y'\\id\\`\\ing"", 'sh\\`\\ib\\`\\i', 'chinese mandarin']",0.47929621378198095
