Unique Word,Year,Count,Fitted Value,Area Ratio
early exit,2000.0,0,0.0,0.0
early exit,2001.0,0,0.0,0.0
early exit,2002.0,0,0.0,0.0
early exit,2003.0,0,0.0,0.0
early exit,2004.0,0,0.0,0.0
early exit,2005.0,0,0.0,0.0
early exit,2006.0,0,0.0,0.0
early exit,2007.0,0,0.0,0.0
early exit,2008.0,0,0.0,0.0
early exit,2009.0,0,0.0,0.0
early exit,2010.0,0,1.9261657e-37,3.70393317581558e-39
early exit,2011.0,0,3.1256163e-30,7.513032185336875e-32
early exit,2012.0,0,8.720342e-24,1.6768864372609716e-25
early exit,2013.0,0,4.183041e-18,1.0054809106265538e-19
early exit,2014.0,0,3.4499205e-13,6.634369399895154e-15
early exit,2015.0,0,4.891976e-09,1.176081309001451e-10
early exit,2016.0,0,1.192659e-05,2.2971944909350633e-07
early exit,2017.0,0,0.004999266,0.00012085553234385066
early exit,2018.0,0,0.36029172,0.0073132476632044256
early exit,2019.0,0,4.4643707,0.12845561610479764
early exit,2020.0,1,9.510952,0.5405246511928405
early exit,2021.0,3,3.48374,0.9685841639757377
early exit,2022.0,3,0.21939433,0.9955982492045738
early exit,2023.0,0,0.002375544,0.9873453625207501
early exit,2024.0,0,4.4224016e-06,0.9999999148502511
early exit,2025.0,0,1.415507e-09,0.9999886647952118
early exit,2026.0,0,7.789726e-14,0.9999999999999986
early exit,2027.0,0,7.370393e-19,0.9999999999931967
early exit,2028.0,0,1.1990018e-24,1.0
early exit,2029.0,0,3.3535384e-31,1.0
early exit,2030.0,0,1.6126831e-38,1.0
early exit,2031.0,0,0.0,1.0
early exit,2032.0,0,0.0,1.0
early exit,2033.0,0,0.0,1.0
early exit,2034.0,0,0.0,1.0
early exit,2035.0,0,0.0,1.0
early exit,2036.0,0,0.0,1.0
early exit,2037.0,0,0.0,1.0
early exit,2038.0,0,0.0,1.0
early exit,2039.0,0,0.0,1.0
early exit,2040.0,0,0.0,1.0
early exit,2041.0,0,0.0,1.0
early exit,2042.0,0,0.0,1.0
early exit,2043.0,0,0.0,1.0
early exit,2044.0,0,0.0,1.0
early exit,2045.0,0,0.0,1.0
early exit,2046.0,0,0.0,1.0
early exit,2047.0,0,0.0,1.0
early exit,2048.0,0,0.0,1.0
early exit,2049.0,0,0.0,1.0
early exit,2050.0,0,0.0,1.0
early exit,2051.0,0,0.0,1.0
early exit,2052.0,0,0.0,1.0
early exit,2053.0,0,0.0,1.0
early exit,2054.0,0,0.0,1.0
early exit,2055.0,0,0.0,1.0
early exit,2056.0,0,0.0,1.0
early exit,2057.0,0,0.0,1.0
early exit,2058.0,0,0.0,1.0
early exit,2059.0,0,0.0,1.0
early exit,2060.0,0,0.0,1.0
early exit,2061.0,0,0.0,1.0
early exit,2062.0,0,0.0,1.0
early exit,2063.0,0,0.0,1.0
early exit,2064.0,0,0.0,1.0
early exit,2065.0,0,0.0,1.0
early exit,2066.0,0,0.0,1.0
early exit,2067.0,0,0.0,1.0
early exit,2068.0,0,0.0,1.0
early exit,2069.0,0,0.0,1.0
early exit,2070.0,0,0.0,1.0
early exit,2071.0,0,0.0,1.0
early exit,2072.0,0,0.0,1.0
early exit,2073.0,0,0.0,1.0
early exit,2074.0,0,0.0,1.0
