Title,Year,Important Words,Citations
"Proceedings of the 29th Pacific Asia Conference on Language, Information and Computation: Posters",2015,"29th pacific asia conference, language, information, computation, posters",0
Identification of Sympathy in Free Conversation,2015,"sympathy, free conversation",1
Toward a Corpus of {C}antonese Verbal Comments and their Classification by Multi-dimensional Analysis,2015,"corpus, cantonese verbal comments, classification, multi-dimensional analysis",1
Improved Entity Linking with User History and News Articles,2015,"entity linking, user history, news articles",1
An Arguing Lexicon for Stance Classification on Short Text Comments in {C}hinese,2015,"arguing lexicon, stance classification, short text comments, chinese",0
Learning Sentential Patterns of Various Rhetoric Moves for Assisted Academic Writing,2015,"sentential patterns, rhetoric moves, assisted academic writing",1
{I}dioms: Formally Flexible but Semantically Non-transparent,2015,"idioms, formally flexible, semantically non-transparent",3
Asymmetries in Scrambling and Distinctness of Copies,2015,"asymmetries, scrambling, distinctness of copies",0
Detecting an Infant{'}s Developmental Reactions in Reviews on Picture Books,2015,"infant's developmental reactions, reviews, picture books",2
Semi-automatic Filtering of Translation Errors in Triangle Corpus,2015,"semi-automatic filtering, translation errors, triangle corpus",1
Cross-language Projection of Dependency Trees for Tree-to-tree Machine Translation,2015,"cross-language projection, dependency trees, tree-to-tree machine translation",4
Realignment from Finer-grained Alignment to Coarser-grained Alignment to Enhance {M}ongolian-{C}hinese {SMT},2015,"realignment, finer-grained alignment, coarser-grained alignment, mongolian-chinese smt",1
Finding the Origin of a Translated Historical Document,2015,"origin, translated historical document",1
Improving the Performance of an Example-Based Machine Translation System Using a Domain-specific Bilingual Lexicon,2015,"performance, example-based machine translation system, domain-specific bilingual lexicon",2
A Multifactorial Analysis of {E}nglish Particle Movement in {K}orean {EFL} Learners{'} Writings,2015,"multifactorial analysis, english particle movement, korean efl learners' writings",1
An Efficient Annotation for Phrasal Verbs using Dependency Information,2015,"annotation, phrasal verbs, dependency information",3
Color Aesthetics and Social Networks in Complete Tang Poems: Explorations and Discoveries,2015,"color aesthetics, social networks, complete tang poems, explorations, discoveries",8
{K}orean {T}witter Emotion Classification Using Automatically Built Emotion Lexicons and Fine-Grained Features,2015,"korean twitter, emotion classification, automatically built emotion lexicons, fine-grained features",13
{C}hinese Word Segmentation based on analogy and majority voting,2015,"chinese word segmentation, analogy, majority voting",2
Enhancing Root Extractors Using Light Stemmers,2015,"root extractors, light stemmers",9
Where Morphological Complexity Matters,2015,morphological complexity,0
Distinguishing between True and False Stories using various Linguistic Features,2015,"true stories, false stories, linguistic features",0
Bilingually motivated segmentation and generation of word translations using relatively small translation data sets,2015,"bilingually motivated segmentation, generation of word translations, small translation data sets",3
Selecting Contextual Peripheral Information for Answer Presentation: The Need for Pragmatic Models,2015,"contextual peripheral information, answer presentation, pragmatic models",1
{R}eal{T}ext-asg: A Model to Present Answers Utilizing the Linguistic Structure of Source Question,2015,"realtext-asg, model, answers, linguistic structure, source question",3
Learning under Covariate Shift for Domain Adaptation for Word Sense Disambiguation,2015,"covariate shift, domain adaptation, word sense disambiguation",4
Unsupervised Domain Adaptation for Word Sense Disambiguation using Stacked Denoising Autoencoder,2015,"unsupervised domain adaptation, word sense disambiguation, stacked denoising autoencoder",5
Construction of Semantic Collocation Bank Based on Semantic Dependency Parsing,2015,"semantic collocation bank, semantic dependency parsing",1
Dynamic Semantics for Intensification and Epistemic Necessity: The Case of Y{\'\i}d{\`\i}ng and Sh{\`\i}b{\`\i} in {M}andarin {C}hinese,2015,"dynamic semantics, intensification, epistemic necessity, y'\id\`\ing, sh\`\ib\`\i, mandarin chinese",1
A Corpus-based Comparatively Study on the Semantic Features and Syntactic patterns of Y{\`o}u/H{\'a}i in {M}andarin {C}hinese,2015,"corpus, semantic features, syntactic patterns, y\`ou/h\'ai, mandarin chinese",0
An Empirical Study on Sentiment Classification of {C}hinese Review using Word Embedding,2015,"empirical study, sentiment classification, chinese review, word embedding",26
Polarity Classification of Short Product Reviews via Multiple Cluster-based {SVM} Classifiers,2015,"polarity classification, short product reviews, multiple cluster-based svm classifiers",9
Automatic Classification of Spoken Languages using Diverse Acoustic Features,2015,"automatic classification, spoken languages, diverse acoustic features",2
The Syntactic and Semantic Analysis of H{\v{e}}n {X} Constructions in Spoken Corpora,2015,"syntactic analysis, semantic analysis, h\ven x constructions, spoken corpora",0
Methods and Tool for Constructing Phonetically-Balanced Materials for Speech Perception Testing: A Development of {T}hai Sentence-Length Materials,2015,"methods, tool, constructing, phonetically-balanced materials, speech perception testing, development, thai sentence-length materials",2
Graph Theoretic Features of the Adult Mental lexicon Predict Language Production in {M}andarin: Clustering Coefficient,2015,"graph theoretic features, adult mental lexicon, language production, mandarin, clustering coefficient",0
Feature Reduction Using Ensemble Approach,2015,"feature reduction, ensemble approach",0
"Measuring Popularity of Machine-Generated Sentences Using Term Count, Document Frequency, and Dependency Language Model",2015,"popularity, machine-generated sentences, term count, document frequency, dependency language model",2
Acquiring distributed representations for verb-object pairs by using word2vec,2015,"distributed representations, verb-object pairs, word2vec",1
Dependency parsing for {C}hinese long sentence: A second-stage main structure parsing method,2015,"dependency parsing, chinese long sentence, second-stage main structure parsing method",0
A Light Rule-based Approach to {E}nglish Subject-Verb Agreement Errors on the Third Person Singular Forms,2015,"light rule-based approach, english subject-verb agreement errors, third person singular forms",3
A Machine Learning Method to Distinguish Machine Translation from Human Translation,2015,"machine learning, machine translation, human translation",8
"Proceedings of the 29th Pacific Asia Conference on Language, Information and Computation",2015,"29th pacific asia conference, language, information, computation",0
Two-level Word Class Categorization Model in Analytic Languages and Its Implications for {POS} Tagging in {M}odern {C}hinese Corpora,2015,"two-level word class categorization model, analytic languages, implications, pos tagging, modern chinese corpora",0
A Review of Corpus-based Statistical Models of Language Variation,2015,"corpus-based statistical models, language variation, review",1
Translation of Unseen Bigrams by Analogy Using an {SVM} Classifier,2015,"unseen bigrams, analogy, svm classifier",0
Machine Translation Experiments on {PADIC}: A Parallel {A}rabic {DI}alect Corpus,2015,"machine translation, padic, parallel arabic dialect corpus",62
Surrounding Word Sense Model for {J}apanese All-words Word Sense Disambiguation,2015,"surrounding word sense model, japanese all-words word sense disambiguation",5
Computing Semantic Text Similarity Using Rich Features,2015,"computing, semantic text similarity, rich features",8
{M}echanical {T}urk-based Experiment vs Laboratory-based Experiment: A Case Study on the Comparison of Semantic Transparency Rating Data,2015,"mechanical turk-based experiment, laboratory-based experiment, semantic transparency rating data, case study, comparison",13
Discourse Relation Recognition by Comparing Various Units of Sentence Expression with Recursive Neural Network,2015,"discourse relation recognition, various units of sentence expression, recursive neural network",1
Bidirectional Long Short-Term Memory Networks for Relation Classification,2015,"bidirectional long short-term memory networks, relation classification",157
Distant Supervision for Entity Linking,2015,"distant supervision, entity linking",10
Toward Algorithmic Discovery of Biographical Information in Local Gazetteers of {A}ncient {C}hina,2015,"algorithmic discovery, biographical information, local gazetteers, ancient china",4
Fast and Large-scale Unsupervised Relation Extraction,2015,"fast, large-scale, unsupervised relation extraction",7
Reducing Lexical Features in Parsing by Word Embeddings,2015,"lexical features, parsing, word embeddings",3
High-order Graph-based Neural Dependency Parsing,2015,"high-order, graph-based neural dependency parsing",4
A Dynamic Syntax Modelling of Postposing in {J}apanese Narratives,2015,"dynamic syntax, postposing, japanese narratives",1
Unsupervised and Lightly Supervised Part-of-Speech Tagging Using Recurrent Neural Networks,2015,"unsupervised, lightly superviced, part-of-speech tagging, recurrent neural networks",15
Identifying Prepositional Phrases in {C}hinese Patent Texts with Rule-based and {CRF} Methods,2015,"prepositional phrases, chinese patent texts, rule-based methods, crf methods",0
{J}apanese Sentiment Classification with Stacked Denoising Auto-Encoder using Distributed Word Representation,2015,"japanese sentiment classification, stacked denoising auto-encoder, distributed word representation",8
Is {W}ikipedia Really Neutral? A Sentiment Perspective Study of War-related {W}ikipedia Articles since 1945,2015,"wikipedia, sentiment perspective study, war-related wikipedia articles, 1945",4
A Comprehensive Filter Feature Selection for Improving Document Classification,2015,"comprehensive filter feature selection, document classification",6
Sentiment Analyzer with Rich Features for Ironic and Sarcastic Tweets,2015,"sentiment analyzer, rich features, ironic tweets, sarcastic tweets",6
{T}hai Stock News Sentiment Classification using Wordpair Features,2015,"thai stock news, sentiment classification, wordpair features",1
Sentiment Classification of {A}rabic Documents: Experiments with multi-type features and ensemble algorithms,2015,"sentiment classification, arabic documents, multi-type features, ensemble algorithms",24
The Invertible Construction in {C}hinese,2015,"invertible construction, chinese",0
Pan{'}s (2001) puzzle revisited,2015,pan's (2001) puzzle,1
{E}nglish Right Dislocation,2015,english right dislocation,1
A Comparative Study on {M}andarin and {C}antonese Resultative Verb Compounds,2015,"comparative study, mandarin, cantonese, resultative verb compounds",0
Complex-{NP} Islands in {K}orean: An Experimental Approach,2015,"complex-np islands, korean, experimental approach",4
Two Types of Multiple Subject Constructions ({MSC}s) in {K}orean,2015,"multiple subject constructions (mscs), korean",1
