Title,Year,Important Words,Citations
"Proceedings of the 29th Pacific Asia Conference on Language, Information and Computation: Posters",2015,"29th pacific asia conference, english, information, computation, posters",0
Identification of Sympathy in Free Conversation,2015,"empathy, free conversation",1
Toward a Corpus of {C}antonese Verbal Comments and their Classification by Multi-dimensional Analysis,2015,"corpus, cantonese verbal comments, classification, multidimensional analysis",1
Improved Entity Linking with User History and News Articles,2015,"entity linkage, user history, news article",1
An Arguing Lexicon for Stance Classification on Short Text Comments in {C}hinese,2015,"arguing lexicon, type classification, short text, chinese",0
Learning Sentential Patterns of Various Rhetoric Moves for Assisted Academic Writing,2015,"sentential patterns, rhetoric moves, academic writing aid",1
{I}dioms: Formally Flexible but Semantically Non-transparent,2015,"idiom, formally flexible, semantically non-transparent",3
Asymmetries in Scrambling and Distinctness of Copies,2015,"asymmetry, autoling, distinctness of copies",0
Detecting an Infant{'}s Developmental Reactions in Reviews on Picture Books,2015,"infants' developmental stages, review, picture book",2
Semi-automatic Filtering of Translation Errors in Triangle Corpus,2015,"german plays, translation error, triangle corpus",1
Cross-language Projection of Dependency Trees for Tree-to-tree Machine Translation,2015,"cross-language projection, dependency tree, tree-to-tree model",4
Realignment from Finer-grained Alignment to Coarser-grained Alignment to Enhance {M}ongolian-{C}hinese {SMT},2015,"realignment, data transfer, data transfer, mongolian",1
Finding the Origin of a Translated Historical Document,2015,"origin, translated historical document",1
Improving the Performance of an Example-Based Machine Translation System Using a Domain-specific Bilingual Lexicon,2015,"performance, example-translation system, domain-specific bilingual lexicon",2
A Multifactorial Analysis of {E}nglish Particle Movement in {K}orean {EFL} Learners{'} Writings,2015,"multifactorial analysis, english particles, korean efl learners",1
An Efficient Annotation for Phrasal Verbs using Dependency Information,2015,"annotate, phrasal verbs, dependency data",3
Color Aesthetics and Social Networks in Complete Tang Poems: Explorations and Discoveries,2015,"color aesthetics, social network, complete tang poems, exploring, discovery",8
{K}orean {T}witter Emotion Classification Using Automatically Built Emotion Lexicons and Fine-Grained Features,2015,"korean twitter, emotion categories, lexicon-based sentiment analysis, fine-grained features",13
{C}hinese Word Segmentation based on analogy and majority voting,2015,"chronus system, analogy, majority vote",2
Enhancing Root Extractors Using Light Stemmers,2015,"rote extractor, light stemmers",9
Where Morphological Complexity Matters,2015,morphological complexity,0
Distinguishing between True and False Stories using various Linguistic Features,2015,"true stories, fake claims, experimenting",0
Bilingually motivated segmentation and generation of word translations using relatively small translation data sets,2015,"bilingually motivated domain, cuni x-ling, small data sets",3
Selecting Contextual Peripheral Information for Answer Presentation: The Need for Pragmatic Models,2015,"context parameters, answer presentation, pragmatic models",1
{R}eal{T}ext-asg: A Model to Present Answers Utilizing the Linguistic Structure of Source Question,2015,"realtext-asg, model, answer, linguistic structure, source context",3
Learning under Covariate Shift for Domain Adaptation for Word Sense Disambiguation,2015,"covariate shift, domain adaptation, word sense disambiguation",4
Unsupervised Domain Adaptation for Word Sense Disambiguation using Stacked Denoising Autoencoder,2015,"knowledge objects, word sense disambiguation, stacked denoising autoencoder",5
Construction of Semantic Collocation Bank Based on Semantic Dependency Parsing,2015,"semantic collocation, phrase dependency parsing",1
Dynamic Semantics for Intensification and Epistemic Necessity: The Case of Y{\'\i}d{\`\i}ng and Sh{\`\i}b{\`\i} in {M}andarin {C}hinese,2015,"dynamic semantics, intensification, epistemicity, y'\id\`\ing, sh\`\ib\`\i, chinese mandarin",1
A Corpus-based Comparatively Study on the Semantic Features and Syntactic patterns of Y{\`o}u/H{\'a}i in {M}andarin {C}hinese,2015,"corpus, semantic feature, syntactic patterns, y\`ou/h\'ai, chinese mandarin",0
An Empirical Study on Sentiment Classification of {C}hinese Review using Word Embedding,2015,"emprical study, extracting data, chinese review, word embedding",26
Polarity Classification of Short Product Reviews via Multiple Cluster-based {SVM} Classifiers,2015,"coreference data, short product reviews, multiple cluster-based svm classifiers",9
Automatic Classification of Spoken Languages using Diverse Acoustic Features,2015,"automatic categorization, spoken language, acoustic features",2
The Syntactic and Semantic Analysis of H{\v{e}}n {X} Constructions in Spoken Corpora,2015,"syntactic analysis, semantic analysis, h\ven x constructions, business",0
Methods and Tool for Constructing Phonetically-Balanced Materials for Speech Perception Testing: A Development of {T}hai Sentence-Length Materials,2015,"method, tool, constructing, phonetically-balanced materials, speech perceiver, develop, thai sentence",2
Graph Theoretic Features of the Adult Mental lexicon Predict Language Production in {M}andarin: Clustering Coefficient,2015,"graph theoretic features, adult mental lexicon, language product, mandarin, clustering coefficient",0
Feature Reduction Using Ensemble Approach,2015,"feature reduction, ensemble strategy",0
"Measuring Popularity of Machine-Generated Sentences Using Term Count, Document Frequency, and Dependency Language Model",2015,"popularity, machine-generated sentences, term count, document frequency, dependency language model",2
Acquiring distributed representations for verb-object pairs by using word2vec,2015,"distributed representation, verb-object pairs, word2vec",1
Dependency parsing for {C}hinese long sentence: A second-stage main structure parsing method,2015,"dependency parses, chinese long sentence, two-stage parser",0
A Light Rule-based Approach to {E}nglish Subject-Verb Agreement Errors on the Third Person Singular Forms,2015,"text-picture relations, coreference density, third person singular forms",3
A Machine Learning Method to Distinguish Machine Translation from Human Translation,2015,"machine-learning, machine translate, human translation",8
"Proceedings of the 29th Pacific Asia Conference on Language, Information and Computation",2015,"29th pacific asia conference, english, information, computation",0
Two-level Word Class Categorization Model in Analytic Languages and Its Implications for {POS} Tagging in {M}odern {C}hinese Corpora,2015,"two-level classifier, analytic languages, implication, pos tagging, chinese corpora",0
A Review of Corpus-based Statistical Models of Language Variation,2015,"corpus-based statistical models, language variation, review",1
Translation of Unseen Bigrams by Analogy Using an {SVM} Classifier,2015,"unseen bigrams, analogy, svm classifier",0
Machine Translation Experiments on {PADIC}: A Parallel {A}rabic {DI}alect Corpus,2015,"machine translate, padic, black & white",62
Surrounding Word Sense Model for {J}apanese All-words Word Sense Disambiguation,2015,"surrounding word sense model, external features",5
Computing Semantic Text Similarity Using Rich Features,2015,"computing, semantic text similarity, rich features",8
{M}echanical {T}urk-based Experiment vs Laboratory-based Experiment: A Case Study on the Comparison of Semantic Transparency Rating Data,2015,"mechanical turk-based experiment, laboratory-based experiment, semantic transparency, casestudy, comparison",13
Discourse Relation Recognition by Comparing Various Units of Sentence Expression with Recursive Neural Network,2015,"discourse predictions, speeches, recursive neural network",1
