Index,GPT Extracted Words,Human Extracted Words,GPT Missed Ratio,Human Missed Ratio,GPT Only,Human Only,Precision,Recall,F1-Score
0,"{'dependency parsing', 'affix detection', 'affix labeling', 'pos tagging', 'crosstask flexible transition model', 'arabic tokenization'}","{'dependency parsing', 'affix detection', 'affix labeling', 'pos tagging', 'crosstask flexible transition model', 'arabic tokenization'}",0.0,0.0,set(),set(),1.0,1.0,1.0
1,"{'baseline models', 'dataset', 'realistic urban navigation'}","{'baseline models', 'realistic urban navigation', 'new dataset'}",0.3333333333333333,0.3333333333333333,{'dataset'},{'new dataset'},0.6666666666666666,0.6666666666666666,0.6666666666666666
2,"{'multilingual resources', 'verb classification', 'automatic'}","{'multilingual resources', 'automatic verb classification'}",0.6666666666666666,0.5,"{'verb classification', 'automatic'}",{'automatic verb classification'},0.3333333333333333,0.5,0.4
3,"{'multidomain spoken dialogue system', 'speech recognition errors', 'robustness', 'extensibility'}","{'multidomain spoken dialogue system', 'speech recognition errors', 'robustness', 'extensibility'}",0.0,0.0,set(),set(),1.0,1.0,1.0
4,"{'lexical meanings', 'ditransitive verbs', 'japanese'}","{'lexical meanings', 'ditransitive verbs'}",0.3333333333333333,0.0,{'japanese'},set(),0.6666666666666666,1.0,0.8
5,"{'dialog acts', 'actes de dialogue', 'online chats', 'annotation', 'conversations dassistance en ligne'}",{''},1.0,1.0,"{'dialog acts', 'actes de dialogue', 'online chats', 'annotation', 'conversations dassistance en ligne'}",{''},0.0,0.0,0.0
6,"{'michael', 'mining characterlevel patterns', 'madar challenge', 'arabic dialect identification'}","{'arabic dialect identification', 'mining characterlevel patterns'}",0.5,0.0,"{'michael', 'madar challenge'}",set(),0.5,1.0,0.6666666666666666
7,"{'cuni nmt system', 'wat 2018 translation tasks'}",{'cuni nmt system'},0.5,0.0,{'wat 2018 translation tasks'},set(),0.5,1.0,0.6666666666666666
8,"{'translation evaluation', 'handwriting recognition', 'linguistic resources'}","{'translation evaluation', 'handwriting recognition', 'linguistic resources'}",0.0,0.0,set(),set(),1.0,1.0,1.0
9,"{'chinese prosody', 'mandarin', 'linguisticallymotivated texttospeech system', 'conceptual foundations'}","{'a linguisticallymotivated texttospeech system', 'conceptual foundations'}",0.75,0.5,"{'chinese prosody', 'mandarin', 'linguisticallymotivated texttospeech system'}",{'a linguisticallymotivated texttospeech system'},0.25,0.5,0.3333333333333333
10,"{'plnlp approach', 'natural language processing'}","{'the plnlp approach', 'natural language processing'}",0.5,0.5,{'plnlp approach'},{'the plnlp approach'},0.5,0.5,0.5
11,"{'cascade approach', 'complextype classification'}","{'cascade approach', 'complextype classification'}",0.0,0.0,set(),set(),1.0,1.0,1.0
12,"{'modeling', 'ressources linguistiques linguistic resources', 'cultures', 'genres musicaux music genre', 'perception'}","{'languagebound cultures', 'the music genre perception'}",1.0,1.0,"{'modeling', 'ressources linguistiques linguistic resources', 'cultures', 'genres musicaux music genre', 'perception'}","{'languagebound cultures', 'the music genre perception'}",0.0,0.0,0.0
13,"{'crosslingual information extraction', 'multidomain', 'clean texts', 'noisy texts'}","{'clean and noisy texts', 'crosslingual information'}",1.0,1.0,"{'crosslingual information extraction', 'multidomain', 'clean texts', 'noisy texts'}","{'clean and noisy texts', 'crosslingual information'}",0.0,0.0,0.0
14,"{'privacy policy text', 'provision of choices'}","{'privacy policy text', 'identifying the provision of choices'}",0.5,0.5,{'provision of choices'},{'identifying the provision of choices'},0.5,0.5,0.5
15,"{'discourse phenomena', 'neural machine translation'}","{'evaluating discourse phenomena', 'neural machine translation'}",0.5,0.5,{'discourse phenomena'},{'evaluating discourse phenomena'},0.5,0.5,0.5
16,"{'implicit knowledge', 'response generation', 'selftalk'}","{'response generation by selftalk', 'generate implicit knowledge'}",1.0,1.0,"{'implicit knowledge', 'response generation', 'selftalk'}","{'response generation by selftalk', 'generate implicit knowledge'}",0.0,0.0,0.0
17,"{'polish treebank', 'multiword expression resources'}","{'a polish treebank', 'multiword expression resources'}",0.5,0.5,{'polish treebank'},{'a polish treebank'},0.5,0.5,0.5
18,"{'structured prediction', 'learning constraints', 'rectifier networks'}","{'structured prediction', 'rectifier networks'}",0.3333333333333333,0.0,{'learning constraints'},set(),0.6666666666666666,1.0,0.8
