Year,formatted_title,Human extract words,SciBERT Extracted Words
2013,"A Cross-Task Flexible Transition Model For Arabic Tokenization, Affix Detection, Affix Labeling, Pos Tagging, And Dependency Parsing","cross-task flexible transition model, arabic tokenization, affix detection, affix labeling, pos tagging, dependency parsing",", affix labeling, tagging, task, detection, flexible transition model for arabic, affix, cross, pos, tokenization, and dependency, parsing, a"
2019,Run Through The Streets: A New Dataset And Baseline Models For Realistic Urban Navigation,"new dataset, baseline models, realistic urban navigation","new dataset, run through, streets, and, baseline models for realistic urban navigation, the, a"
2001,Automatic Verb Classification Using Multilingual Resources,"automatic verb classification, multilingual resources","automatic verb classification using multil, ingual, resources"
2006,Multi-Domain Spoken Dialogue System With Extensibility And Robustness Against Speech Recognition Errors,"multi-domain spoken dialogue system, extensibility, robustness, speech recognition errors","multi, and robustness, domain spoken, against, system, speech recognition, with extensibility, errors, dialogue"
2021,Lexical Meanings Of Ditransitive Verbs In Japanese,"lexical meanings, ditransitive verbs","in, lexical meanings of ditransitive verbs, jap, anese"
2018,Annotation En Actes De Dialogue Pour Les Conversations D'Assistance En Ligne (Dialog Acts Annotations For Online Chats),,"acts annotations, for online cha, annotation, actes, de dialogue, ligne  dialog, ts, pour les conversations d  assistance en, en"
2019,Michael: Mining Character-Level Patterns For Arabic Dialect Identification (Madar Challenge),"mining character-level patterns, arabic dialect identification",", mic, patterns for arabi, c dialect identification, madar, hael, mining character  level, challenge"
2018,Cuni Nmt System For Wat 2018 Translation Tasks,cuni nmt system,"system, t, ni nm, cu, for wat 2018 translation tasks"
2012,Linguistic Resources For Handwriting Recognition And Translation Evaluation,"linguistic resources, handwriting recognition, translation evaluation","evaluation, linguistic resources for handwriting recognition and, translation"
2001,Issues In Chinese Prosody : Conceptual Foundations Of A Linguistically-Motivated Text-To-Speech System For Mandarin,"conceptual foundations, a linguistically-motivated text-to-speech system",", ally  motivated, arin, issues in chinese prosody  conceptual foundations, text  to, of a linguistic, speech system for, mand"
1993,Book Reviews: Natural Language Processing: The Plnlp Approach,"natural language processing, the plnlp approach",", book reviews, the, plnlp approach, natural language processing"
2014,A Cascade Approach For Complex-Type Classification,"cascade approach, complex-type classification",", cascade approach, for, complex, type classification, a"
2021,Mod\'Eliser La Perception Des Genres Musicaux \`A Travers Diff\'Erentes Cultures \`A Partir De Ressources Linguistiques (Modeling The Music Genre Perception Across Language-Bound Cultures ),"the music genre perception, language-bound cultures",", linguistiques, modeling, music, mod, bound, cultures, eliser la perception des genres musicaux, a travers diff   erentes cultures, partir de, the, s, gen, ressource, re perception, across language, a"
2011,Multi-Domain Cross-Lingual Information Extraction From Clean And Noisy Texts,"cross-lingual information, clean and noisy texts",", multi, information, domain cross, extraction, from clean and noisy, texts, lingual"
2017,Identifying The Provision Of Choices In Privacy Policy Text,"privacy policy text, identifying the provision of choices","identifying the, choices in, provision, text, privacy policy, of"
2018,Evaluating Discourse Phenomena In Neural Machine Translation,"evaluating discourse phenomena, neural machine translation","evaluating, discourse phenomena in neural machine translation"
2021,Think Before You Speak: Learning To Generate Implicit Knowledge For Response Generation By Self-Talk,"generate implicit knowledge, response generation by self-talk",", think before, you, speak  learning to generate implicit knowledge for response generation by self, talk"
2017,Projecting Multiword Expression Resources On A Polish Treebank,"multiword expression resources, a polish treebank","a polish tree, bank, projecting multiword expression resources, on"
2020,Learning Constraints For Structured Prediction Using Rectifier Networks,"structured prediction, rectifier networks",learning constraints for structured prediction using rectifier networks
2012,Incremental Learning Of Affix Segmentation,incremental learning ,"incremental learning, of affix, segmentation"
2012,Construction Of The Turkish National Corpus (Tnc),turkish national corpus,", tnc, construction of the turkish national corpus"
2014,An Unsupervised Model For Instance Level Subcategorization Acquisition,"unsupervised model, instance level subcategorization acquisition","an unsupervised model for instance level, subc, ization acquisition, ategor"
2016,Bridging The Gap Between Extractive And Abstractive Summaries: Creation And Evaluation Of Coherent Extracts From Heterogeneous Sources,"extractive and abstractive summaries, creation and evaluation of coherent, heterogeneous sources","summaries, from heterogeneous, extract, gap between, ive and abstractive, creation and evaluation of coherent, sources, extracts, bridging the"
2006,An Automatic Method For Summary Evaluation Using Multiple Evaluation Results By A Manual Method,"automatic method, summary evaluation, multiple evaluation results, manual method",an automatic method for summary evaluation using multiple evaluation results by a manual method
2017,Hierarchical Word Structure-Based Parsing: A Feasibility Study On Ud-Style Dependency Parsing In Japanese,"hierarchical word structure-based parsing, ud-style dependency parsing",", style, based parsing, dependency parsing in, japanese, word structure, feasibility study on ud, a, hierarchical"
2022,Equivariant Transduction Through Invariant Alignment,"equivariant transduction, invariant alignment","equivariant transduction through, invariant alignment"
2016,Modeling Language Change In Historical Corpora: The Case Of Portuguese,"historical corpora, the case of portuguese","modeling, portuguese, case of, historical corpora  the, language change in"
2009,"Proceedings Of The Workshop On Software Engineering, Testing, And Quality Assurance For Natural Language Processing (Setqa-Nlp 2009)",natural language processing,", language, natural, setq, proceedings, and quality assurance for, the, nlp 2009, of, workshop on software engineering testing, processing, a"
2022,Choose Your Lenses: Flaws In Gender Bias Evaluation,gender bias evaluation,choose your lenses  flaws in gender bias evaluation
1994,Using A Textual Representation Level Component In The Context Of Discourse And Dialogue Generation,"a textual representation level component,  context of discourse, dialogue generation","in the, discourse and dialogue generation, textual, context, of, component, using a, representation level"
2021,Modeling Content And Context With Deep Relational Learning,"modeling content, deep relational learning","relational, learning, modeling content and, context with deep"
2020,Unsupervised Keyword Extraction For Full-Sentence Vqa,"unsupervised keyword extraction, full-sentence vqa","keyword, full, sentence vqa, for, unsupervised, extraction"
2009,Bayesian Learning Of A Tree Substitution Grammar,"bayesian learning, a tree substitution grammar","bayesian learning, a tree substitution grammar, of"
2022,Director: Generator-Classifiers For Supervised Language Modeling,"generator-classifiers, supervised language modeling",director  generator  classifiers for supervised language modeling
2015,Evaluating The Performance Of Automated Text Scoring Systems,automated text scoring systems,"performance of automated, evaluating the, text scoring systems"
2017,Twitter Language Identification Of Similar Languages And Dialects Without Ground Truth,"language identification, similar languages and dialects, ground truth","twitter language, identification of, and, without ground truth, dialects, languages, similar"
2008,The ``Close-Distant'' Relation Of Adjectival Concepts Based On Self-Organizing Map,"adjectival concepts, self-organizing map",", relation of, close, map, adjectival, the, concepts based on self, organizing, distant"
1998,Tipster Phase Iii Accomplishments,,"tipster, phase, iii accomplishments"
2008,A Comparative Cross-Domain Study Of The Occurrence Of Laughter In Meeting And Seminar Corpora,"comparative cross-domain study, the occurrence of laughter, meeting and seminar corpora",", domain study of, nar, corpora, the, laughter in, meeting and, semi, occurrence of, a, comparative cross"
2020,A Sentiment-Controllable Topic-To-Essay Generator With Topic Knowledge Graph,"sentiment-controllable topic-to-essay generator, topic knowledge graph",", ay generator, to  ess, controllable topic, with, sentiment, topic knowledge graph, a"
2015,Perceptually Grounded Selectional Preferences,"perceptually grounded, selectional preferences","perceptually grounded, preferences, selection, al"
2015,Novel Document Level Features For Statistical Machine Translation,"novel document level, statistical machine translation",novel document level features for statistical machine translation
2013,"What Is In A Text, What Isn'T, And What This Has To Do With Lexical Semantics",lexical semantics,", n, t, is, and what this has to do with lexical, semantics, a text what, what is in"
2011,Summarizing Decisions In Spoken Meetings,"summarizing decisions, spoken meetings",summarizing decisions in spoken meetings
1994,Annotation Of Atis Data,atis data,annotation of atis data
2012,Rombac: The Romanian Balanced Annotated Corpus,annotated corpus,"romania, n balanced annotated corpus, rom, the, bac"
2018,Representing Spatial Relations In Framenet,representing spatial relations,representing spatial relations in framenet
2013,Aligning Formal Meaning Representations With Surface Strings For Wide-Coverage Text Generation,"formal meaning representations, surface strings, wide-coverage text generation",", align, coverage text generation, ing formal, representations with surface strings for wide, meaning"
2012,Towards Automatic Topical Question Generation,topical question generation,"towards, automatic topical question generation"
2021,Grounding Plural Phrases: Countering Evaluation Biases By Individuation,"grounding plural phrases, countering evaluation biases","grounding plur, countering evaluation biases by individuation, al phrases"
2021,A (Mostly) Symbolic System For Monotonic Inference With Unscoped Episodic Logical Forms,"monotonic inference, unscoped episodic logical forms",", cope, inference with, logical, d, mostly, symbolic system, for, episodic, uns, monotonic, forms, a"
