Unique Word,Year,Count,Fitted Value,Area Ratio
ascent,1994,0,0.0012630838,0.0
ascent,1995,0,0.002687625,7.961517494522248e-05
ascent,1996,0,0.0054900823,0.0002351573793702515
ascent,1997,0,0.010766207,0.0005544478924480259
ascent,1998,0,0.02026846,0.0011597822054842685
ascent,1999,0,0.03663128,0.002283390410008808
ascent,2000,0,0.063556105,0.0042544726712540224
ascent,2001,0,0.105861,0.007616930618469819
ascent,2002,0,0.16927336,0.013071342939383225
ascent,2003,0,0.25984523,0.021627774355332287
ascent,2004,0,0.38292584,0.034453824462260314
ascent,2005,0,0.5417366,0.05296773171675297
ascent,2006,0,0.73575896,0.07859545973770245
ascent,2007,1,0.9593045,0.11265543258857805
ascent,2008,0,1.200746,0.15616398812540327
ascent,2009,0,1.4428446,0.20943575306943518
ascent,2010,0,1.664415,0.27219374185980194
ascent,2011,0,1.843221,0.34302369455806325
ascent,2012,0,1.9595973,0.41993429700636126
ascent,2013,2,2.0,0.4999837723244861
ascent,2014,0,1.9595973,0.5800657029936387
ascent,2015,0,1.843221,0.6569557471831917
ascent,2016,0,1.664415,0.7278062581401982
ascent,2017,0,1.4428446,0.790567776940463
ascent,2018,1,1.200746,0.8438360118745968
ascent,2019,0,0.9593045,0.8873634156183013
ascent,2020,0,0.73575896,0.9214045402622977
ascent,2021,1,0.5417366,0.9470496321562983
ascent,2022,0,0.38292584,0.9655461755377398
ascent,2023,0,0.25984523,0.9783793723732224
ascent,2024,0,0.16927336,0.9869286570606168
ascent,2025,0,0.105861,0.9923819790032532
ascent,2026,0,0.063556105,0.9957455273287461
ascent,2027,0,0.03663128,0.9977128592203565
ascent,2028,0,0.02026846,0.9988402177945158
ascent,2029,0,0.010766207,0.9994425898296622
ascent,2030,0,0.0054900823,0.9997648426206298
ascent,2031,0,0.002687625,0.9999213325272294
ascent,2032,0,0.0012630838,1.0
edlin,1984,0,0.002279444,0.0
edlin,1985,0,0.005052335,3.6935128411010115e-05
edlin,1986,0,0.0107505,0.00011163249543874914
edlin,1987,0,0.02196033,0.000271791389467204
edlin,1988,0,0.04306483,0.0005873793533102118
edlin,1989,0,0.08107384,0.0011985565198276284
edlin,1990,0,0.14652511,0.0023132378414098486
edlin,1991,0,0.25422442,0.004296612177854693
edlin,1992,0,0.423444,0.0076426517140039795
edlin,1993,0,0.67709345,0.013115914452784655
edlin,1994,0,1.0393809,0.021651416817078082
edlin,1995,0,1.5317034,0.034494527330300874
edlin,1996,0,2.1669464,0.052996309665528554
edlin,1997,0,2.9430358,0.07862048833324597
edlin,1998,0,3.837218,0.11269716278313553
edlin,1999,0,4.802984,0.15616359983455125
edlin,2000,0,5.7713785,0.20948950320562781
edlin,2001,0,6.65766,0.2721719154996708
edlin,2002,0,7.372884,0.3430715510901487
edlin,2003,0,7.8383894,0.4199106838808341
edlin,2004,4,8.0,0.5
edlin,2005,0,7.8383894,0.5800600551160339
edlin,2006,2,7.372884,0.6569284489098512
edlin,2007,1,6.65766,0.7278194495677754
edlin,2008,3,5.7713785,0.7905104967943721
edlin,2009,1,4.802984,0.8438496534337069
edlin,2010,0,3.837218,0.8873028372168644
edlin,2011,0,2.9430358,0.9213994568275798
edlin,2012,1,2.1669464,0.9470036903344714
edlin,2013,0,1.5317034,0.9655180331675837
edlin,2014,1,1.0393809,0.978348583182922
edlin,2015,2,0.67709345,0.9868864458608685
edlin,2016,2,0.423444,0.9923573482859961
edlin,2017,1,0.25422442,0.99570033386859
edlin,2018,2,0.14652511,0.9976867621585902
edlin,2019,1,0.08107384,0.9987978599867909
edlin,2020,2,0.04306483,0.9994126206466899
edlin,2021,0,0.02196033,0.9997260030827557
edlin,2022,0,0.0107505,0.9998883675045613
edlin,2023,0,0.005052335,0.9999633494017756
edlin,2024,0,0.002279444,1.0
cil,1992,0,0.0014246524,0.0
cil,1993,0,0.0031577095,3.6935126514008584e-05
cil,1994,0,0.006719062,0.0001116324958465013
cil,1995,0,0.013725206,0.0002717913915853255
cil,1996,0,0.026915519,0.0005873793653418612
cil,1997,2,0.050671153,0.0011985565421575434
cil,1998,0,0.0915782,0.002313237895030058
cil,1999,0,0.15889026,0.004296612269168419
cil,2000,0,0.2646525,0.007642651724656201
cil,2001,0,0.4231834,0.013115914390362856
cil,2002,0,0.6496131,0.02165141700018429
cil,2003,1,0.9573146,0.034494527756565134
cil,2004,0,1.3543415,0.052996310231747945
cil,2005,1,1.8393974,0.07862048906552878
cil,2006,1,2.3982613,0.11269716411722575
cil,2007,0,3.0018651,0.15616360142497807
cil,2008,0,3.6071115,0.20948950400603455
cil,2009,2,4.1610374,0.27217191458408513
cil,2010,1,4.6080523,0.34307154925476674
cil,2011,2,4.8989935,0.4199106816028182
cil,2012,5,5.0,0.5
cil,2013,2,4.8989935,0.58006005571256
cil,2014,0,4.6080523,0.6569284507452333
cil,2015,0,4.1610374,0.7278194495225054
cil,2016,2,3.6071115,0.7905104959939655
cil,2017,0,3.0018651,0.8438496514028785
cil,2018,1,2.3982613,0.8873028358827744
cil,2019,1,1.8393974,0.9213994559951967
cil,2020,1,1.3543415,0.9470036897682522
cil,2021,3,0.9573146,0.9655180326512319
cil,2022,4,0.6496131,0.9783485829998158
cil,2023,0,0.4231834,0.9868864458632353
cil,2024,0,0.2646525,0.9923573482753438
cil,2025,0,0.15889026,0.995700333725982
cil,2026,0,0.0915782,0.9976867621049699
cil,2027,0,0.050671153,0.9987978599788507
cil,2028,0,0.026915519,0.9994126206346581
cil,2029,0,0.013725206,0.9997260030774326
cil,2030,0,0.006719062,0.9998883675041534
cil,2031,0,0.0031577095,0.9999633493998408
cil,2032,0,0.0014246524,1.0
updates,1963,0,0.0013438124,0.0
updates,1964,0,0.0027450412,0.0001648233526008165
updates,1965,0,0.0053831036,0.00047585309920931675
updates,1966,0,0.01013423,0.0010871667506635486
updates,1967,0,0.01831564,0.0022020969971370766
updates,1968,0,0.031778052,0.004185914250522901
updates,1969,0,0.0529305,0.00753270100698684
updates,1970,0,0.08463668,0.013007186006611014
updates,1971,0,0.12992261,0.021544594475328326
updates,1972,0,0.19146292,0.03439057304583948
updates,1973,0,0.2708683,0.05289648710380049
updates,1974,0,0.36787948,0.07852638803111463
updates,1975,0,0.47965226,0.11261067230842244
updates,1976,0,0.600373,0.15608681606067637
updates,1977,0,0.7214223,0.20942462789782618
updates,1978,0,0.8322075,0.2721210381053222
updates,1979,0,0.9216105,0.34303650663723495
updates,1980,0,0.9797987,0.41989279874727714
updates,1981,1,1.0,0.5
updates,1982,1,0.9797987,0.5800779337151742
updates,1983,0,0.9216105,0.6569634933627649
updates,1984,0,0.8322075,0.7278703250338153
updates,1985,0,0.7214223,0.7905753721021738
updates,1986,0,0.600373,0.8439264401672333
updates,1987,0,0.47965226,0.8873893276915774
updates,1988,0,0.36787948,0.9214935615837617
updates,1989,0,0.2708683,0.9471035128961994
updates,1990,0,0.19146292,0.9656219902569907
updates,1991,0,0.12992261,0.9784554055246716
updates,1992,0,0.08463668,0.9869951748341352
updates,1993,0,0.0529305,0.9924672989930131
updates,1994,0,0.031778052,0.9958110311139284
updates,1995,0,0.01831564,0.997797903002863
updates,1996,0,0.01013423,0.9989092489557077
updates,1997,0,0.0053831036,0.9995241469007907
updates,1998,0,0.0027450412,0.999837599319808
updates,1999,0,0.0013438124,1.0
angling,2013,0,0.0048959246,0.0
angling,2014,0,0.025921443,0.00048304920421126513
angling,2015,0,0.109893836,0.002283007773970237
angling,2016,0,0.37305918,0.00938496325197892
angling,2017,0,1.0140798,0.029621669031364477
angling,2018,0,2.2072768,0.07867255072247456
angling,2019,2,3.8470821,0.17268112483692502
angling,2020,1,5.3690357,0.31744775622895355
angling,2021,6,6.0,0.5000000000000001
angling,2022,4,5.3690357,0.6815015290070062
angling,2023,0,3.8470821,0.827318875163075
angling,2024,0,2.2072768,0.9225262721909623
angling,2025,0,1.0140798,0.9703783309686355
angling,2026,0,0.37305918,0.9906786264609061
angling,2027,0,0.109893836,0.9977169922260297
angling,2028,0,0.025921443,0.9993777103569599
angling,2029,0,0.0048959246,1.0
factoid question,1992,0,0.0018946256,0.0
factoid question,1993,0,0.0040314374,7.961518044228083e-05
factoid question,1994,0,0.008235123,0.00023515737660711997
factoid question,1995,0,0.01614931,0.000554447872825616
factoid question,1996,0,0.03040269,0.0011597821647116662
factoid question,1997,0,0.054946918,0.002283390342884553
factoid question,1998,0,0.09533416,0.004254472592637829
factoid question,1999,0,0.1587915,0.007616930466091798
factoid question,2000,0,0.25391003,0.013071342576520956
factoid question,2001,0,0.38976783,0.021627773618951452
factoid question,2002,0,0.57438874,0.03445382316151288
factoid question,2003,0,0.8126049,0.052967730005950425
factoid question,2004,0,1.1036384,0.07859545761575867
factoid question,2005,0,1.4389567,0.11265542927443019
factoid question,2006,2,1.8011191,0.15616398392936323
factoid question,2007,0,2.164267,0.20943574976690016
factoid question,2008,2,2.4966226,0.2721937413622719
factoid question,2009,0,2.7648315,0.3430236955206956
factoid question,2010,0,2.939396,0.41993429883733907
factoid question,2011,3,3.0,0.4999837709900183
factoid question,2012,3,2.939396,0.580065701162661
factoid question,2013,1,2.7648315,0.6569557438184349
factoid question,2014,1,2.4966226,0.7278062586377281
factoid question,2015,1,2.164267,0.7905677789750729
factoid question,2016,2,1.8011191,0.8438360160706369
factoid question,2017,2,1.4389567,0.8873634187988071
factoid question,2018,1,1.1036384,0.9214045423842414
factoid question,2019,2,0.8126049,0.9470496335666454
factoid question,2020,0,0.57438874,0.9655461768384872
factoid question,2021,1,0.38976783,0.9783793731178764
factoid question,2022,0,0.25391003,0.9869286574234791
factoid question,2023,0,0.1587915,0.9923819791723244
factoid question,2024,0,0.09533416,0.9957455274073622
factoid question,2025,0,0.054946918,0.9977128592885591
factoid question,2026,0,0.03040269,0.9988402178352883
factoid question,2027,0,0.01614931,0.999442589842796
factoid question,2028,0,0.008235123,0.9997648426233929
factoid question,2029,0,0.0040314374,0.9999213325225051
factoid question,2030,0,0.0018946256,1.0
lemma,1959,0,0.0031342353,0.0
lemma,1960,0,0.006946961,3.6934565610381206e-05
lemma,1961,0,0.014781937,0.00011163079878904039
lemma,1962,0,0.030195452,0.0002717872551286151
lemma,1963,0,0.05921414,0.0005873704175814601
lemma,1964,0,0.11147653,0.001198538289640533
lemma,1965,0,0.20147203,0.0023132026329104453
lemma,1966,0,0.3495586,0.004296546821274234
lemma,1967,0,0.5822355,0.007642535585192762
lemma,1968,0,0.9310035,0.013115715165036417
lemma,1969,0,1.4291488,0.021651087907490922
lemma,1970,0,2.1060922,0.03449400354305939
lemma,1971,0,2.9795513,0.052995504988952565
lemma,1972,0,4.0466743,0.07861929364424429
lemma,1973,0,5.276175,0.11269545000938455
lemma,1974,0,6.604103,0.15616122605229998
lemma,1975,0,7.9356456,0.20948631626118983
lemma,1976,0,9.154283,0.27216777578679735
lemma,1977,0,10.137715,0.343066332933198
lemma,1978,0,10.777785,0.41990429684084096
lemma,1979,11,11.0,0.49999239338976503
lemma,1980,0,10.777785,0.5800512301450562
lemma,1981,0,10.137715,0.6569184538463321
lemma,1982,1,9.154283,0.7278083767738854
lemma,1983,0,7.9356456,0.7904984705183401
lemma,1984,1,6.604103,0.8438368154498501
lemma,1985,0,5.276175,0.8872893367701454
lemma,1986,0,4.0466743,0.9213854386932737
lemma,1987,0,2.9795513,0.9469892817905774
lemma,1988,0,2.1060922,0.965503343274836
lemma,1989,0,1.4291488,0.9783336988720391
lemma,1990,1,0.9310035,0.9868714318740381
lemma,1991,0,0.5822355,0.9923422511943372
lemma,1992,2,0.3495586,0.9956851860016891
lemma,1993,0,0.20147203,0.9976715841466195
lemma,1994,1,0.11147653,0.9987826650399395
lemma,1995,0,0.05921414,0.9993974163619486
lemma,1996,1,0.030195452,0.9997107940360445
lemma,1997,0,0.014781937,0.999873155980741
lemma,1998,2,0.006946961,0.9999481367385331
lemma,1999,0,0.0031342353,0.9999847867795301
lemma,2000,1,0.0013575078,1.0
hal,1990,1,0.0021038672,0.0
hal,1991,1,0.005059802,7.041294541115261e-06
hal,1992,2,0.01168215,2.2295989412182083e-05
hal,1993,0,0.025893217,5.798628892216482e-05
hal,1994,1,0.05509631,0.00013392350640764418
hal,1995,4,0.11254669,0.00029407526119237185
hal,1996,1,0.22070725,0.0006096491622548843
hal,1997,3,0.41550344,0.001220799083136825
hal,1998,6,0.7509412,0.002335430703291452
hal,1999,4,1.3029002,0.004318716655790611
hal,2000,9,2.1701505,0.007664607093661541
hal,2001,3,3.470104,0.013137625867351245
hal,2002,10,5.326827,0.021672747745871156
hal,2003,13,7.84998,0.03451528567840407
hal,2004,15,11.1056,0.05301624356659735
hal,2005,9,15.083058,0.07863927951677921
hal,2006,17,19.665743,0.11271443440184112
hal,2007,13,24.615294,0.15617893354004816
hal,2008,15,29.578316,0.20950245840247858
hal,2009,28,34.120506,0.27218207627653274
hal,2010,26,37.78603,0.3430785482231629
hal,2011,28,40.171745,0.41991425563205437
hal,2012,41,41.0,0.5
hal,2013,28,40.171745,0.5800564855188769
hal,2014,20,37.78603,0.656921451776837
hal,2015,25,34.120506,0.7278092913631167
hal,2016,35,29.578316,0.7904975415975213
hal,2017,22,24.615294,0.8438343208998073
hal,2018,49,19.665743,0.8872855655981587
hal,2019,41,15.083058,0.9213806654163588
hal,2020,66,11.1056,0.9469837564334026
hal,2021,71,7.84998,0.9654972740434511
hal,2022,48,5.326827,0.9783272522541289
hal,2023,1,3.470104,0.9868647341701936
hal,2024,0,2.1701505,0.9923353929063384
hal,2025,0,1.3029002,0.9956782294772253
hal,2026,0,0.7509412,0.9976645692967085
hal,2027,0,0.41550344,0.9987756175834754
hal,2028,0,0.22070725,0.9993903508377451
hal,2029,0,0.11254669,0.9997037193099614
hal,2030,0,0.05509631,0.9998660764935923
hal,2031,0,0.025893217,0.9999410550463681
hal,2032,0,0.01168215,0.9999777040105878
hal,2033,0,0.005059802,0.9999929167850306
hal,2034,0,0.0021038672,1.0
hmms,1991,0,0.0012630838,0.0
hmms,1992,0,0.002687625,7.961517494522248e-05
hmms,1993,0,0.0054900823,0.0002351573793702515
hmms,1994,0,0.010766207,0.0005544478924480259
hmms,1995,0,0.02026846,0.0011597822054842685
hmms,1996,0,0.03663128,0.002283390410008808
hmms,1997,0,0.063556105,0.0042544726712540224
hmms,1998,0,0.105861,0.007616930618469819
hmms,1999,0,0.16927336,0.013071342939383225
hmms,2000,0,0.25984523,0.021627774355332287
hmms,2001,0,0.38292584,0.034453824462260314
hmms,2002,1,0.5417366,0.05296773171675297
hmms,2003,0,0.73575896,0.07859545973770245
hmms,2004,0,0.9593045,0.11265543258857805
hmms,2005,0,1.200746,0.15616398812540327
hmms,2006,0,1.4428446,0.20943575306943518
hmms,2007,1,1.664415,0.27219374185980194
hmms,2008,0,1.843221,0.34302369455806325
hmms,2009,1,1.9595973,0.41993429700636126
hmms,2010,2,2.0,0.4999837723244861
hmms,2011,1,1.9595973,0.5800657029936387
hmms,2012,1,1.843221,0.6569557471831917
hmms,2013,2,1.664415,0.7278062581401982
hmms,2014,1,1.4428446,0.790567776940463
hmms,2015,0,1.200746,0.8438360118745968
hmms,2016,0,0.9593045,0.8873634156183013
hmms,2017,0,0.73575896,0.9214045402622977
hmms,2018,0,0.5417366,0.9470496321562983
hmms,2019,2,0.38292584,0.9655461755377398
hmms,2020,0,0.25984523,0.9783793723732224
hmms,2021,0,0.16927336,0.9869286570606168
hmms,2022,0,0.105861,0.9923819790032532
hmms,2023,0,0.063556105,0.9957455273287461
hmms,2024,0,0.03663128,0.9977128592203565
hmms,2025,0,0.02026846,0.9988402177945158
hmms,2026,0,0.010766207,0.9994425898296622
hmms,2027,0,0.0054900823,0.9997648426206298
hmms,2028,0,0.002687625,0.9999213325272294
hmms,2029,0,0.0012630838,1.0
distinction,1987,0,0.0018946256,0.0
distinction,1988,0,0.0040314374,7.961518044228083e-05
distinction,1989,0,0.008235123,0.00023515737660711997
distinction,1990,1,0.01614931,0.000554447872825616
distinction,1991,1,0.03040269,0.0011597821647116662
distinction,1992,0,0.054946918,0.002283390342884553
distinction,1993,0,0.09533416,0.004254472592637829
distinction,1994,0,0.1587915,0.007616930466091798
distinction,1995,0,0.25391003,0.013071342576520956
distinction,1996,0,0.38976783,0.021627773618951452
distinction,1997,0,0.57438874,0.03445382316151288
distinction,1998,0,0.8126049,0.052967730005950425
distinction,1999,0,1.1036384,0.07859545761575867
distinction,2000,0,1.4389567,0.11265542927443019
distinction,2001,2,1.8011191,0.15616398392936323
distinction,2002,1,2.164267,0.20943574976690016
distinction,2003,0,2.4966226,0.2721937413622719
distinction,2004,1,2.7648315,0.3430236955206956
distinction,2005,2,2.939396,0.41993429883733907
distinction,2006,3,3.0,0.4999837709900183
distinction,2007,0,2.939396,0.580065701162661
distinction,2008,2,2.7648315,0.6569557438184349
distinction,2009,2,2.4966226,0.7278062586377281
distinction,2010,1,2.164267,0.7905677789750729
distinction,2011,2,1.8011191,0.8438360160706369
distinction,2012,2,1.4389567,0.8873634187988071
distinction,2013,0,1.1036384,0.9214045423842414
distinction,2014,1,0.8126049,0.9470496335666454
distinction,2015,1,0.57438874,0.9655461768384872
distinction,2016,1,0.38976783,0.9783793731178764
distinction,2017,1,0.25391003,0.9869286574234791
distinction,2018,0,0.1587915,0.9923819791723244
distinction,2019,0,0.09533416,0.9957455274073622
distinction,2020,0,0.054946918,0.9977128592885591
distinction,2021,0,0.03040269,0.9988402178352883
distinction,2022,2,0.01614931,0.999442589842796
distinction,2023,0,0.008235123,0.9997648426233929
distinction,2024,0,0.0040314374,0.9999213325225051
distinction,2025,0,0.0018946256,1.0
tons,1993,0,0.0012630838,0.0
tons,1994,0,0.002687625,7.961517494522248e-05
tons,1995,0,0.0054900823,0.0002351573793702515
tons,1996,0,0.010766207,0.0005544478924480259
tons,1997,0,0.02026846,0.0011597822054842685
tons,1998,0,0.03663128,0.002283390410008808
tons,1999,0,0.063556105,0.0042544726712540224
tons,2000,0,0.105861,0.007616930618469819
tons,2001,0,0.16927336,0.013071342939383225
tons,2002,0,0.25984523,0.021627774355332287
tons,2003,0,0.38292584,0.034453824462260314
tons,2004,0,0.5417366,0.05296773171675297
tons,2005,0,0.73575896,0.07859545973770245
tons,2006,0,0.9593045,0.11265543258857805
tons,2007,1,1.200746,0.15616398812540327
tons,2008,0,1.4428446,0.20943575306943518
tons,2009,0,1.664415,0.27219374185980194
tons,2010,0,1.843221,0.34302369455806325
tons,2011,1,1.9595973,0.41993429700636126
tons,2012,2,2.0,0.4999837723244861
tons,2013,0,1.9595973,0.5800657029936387
tons,2014,0,1.843221,0.6569557471831917
tons,2015,0,1.664415,0.7278062581401982
tons,2016,0,1.4428446,0.790567776940463
