Unique Word,Year,Count,Fitted Value,Area Ratio
tcl,2003,1,1.0,0.0
tcl,2004,0,0.8948393,0.356409660201613
tcl,2005,0,0.64118034,0.6546377498750471
tcl,2006,0,0.36787948,0.8450525410986011
tcl,2007,0,0.16901329,0.9407566636236161
tcl,2008,0,0.06217653,0.9813572517372229
tcl,2009,0,0.01831564,0.9954339844402617
tcl,2010,1,0.0043202406,0.9987554207514022
tcl,2011,0,0.0008159874,1.0
verb tense,2014,1,1.0,0.0
verb tense,2015,0,0.8948393,0.356409660201613
verb tense,2016,0,0.64118034,0.6546377498750471
verb tense,2017,0,0.36787948,0.8450525410986011
verb tense,2018,0,0.16901329,0.9407566636236161
verb tense,2019,1,0.06217653,0.9813572517372229
verb tense,2020,0,0.01831564,0.9954339844402617
verb tense,2021,0,0.0043202406,0.9987554207514022
verb tense,2022,0,0.0008159874,1.0
thomas,2002,1,1.0,0.0
thomas,2003,0,0.8948393,0.356409660201613
thomas,2004,0,0.64118034,0.6546377498750471
thomas,2005,0,0.36787948,0.8450525410986011
thomas,2006,0,0.16901329,0.9407566636236161
thomas,2007,0,0.06217653,0.9813572517372229
thomas,2008,0,0.01831564,0.9954339844402617
thomas,2009,1,0.0043202406,0.9987554207514022
thomas,2010,0,0.0008159874,1.0
bam,2014,5,5.0,0.0
bam,2015,0,4.8039474,0.22125726147723226
bam,2016,0,4.260719,0.4284420023035285
bam,2017,3,3.4883814,0.6041868606547252
bam,2018,1,2.6364622,0.7421503503122913
bam,2019,1,1.8393974,0.8429560339607018
bam,2020,2,1.1846387,0.9103388273112883
bam,2021,2,0.7042921,0.9523125337704609
bam,2022,0,0.38652363,0.9763632574874229
bam,2023,0,0.19581953,0.9890277480951111
bam,2024,0,0.0915782,0.9953412914663988
bam,2025,0,0.03953526,0.9981039467132856
bam,2026,0,0.015755555,0.9993354804032556
bam,2027,0,0.0057961503,0.9997698800015894
bam,2028,0,0.0019683458,0.9999509673866518
bam,2029,0,0.000617049,1.0
coherent,1975,1,0.010980165,0.0
coherent,1976,0,0.021532414,0.00032765916012918834
coherent,1977,0,0.04053692,0.0009247952181944094
coherent,1978,0,0.07326256,0.0020486104839335167
coherent,1979,1,0.12711221,0.004020055980944886
coherent,1980,0,0.211722,0.007383133569975045
coherent,1981,0,0.33854672,0.012838551043071727
coherent,1982,0,0.51969045,0.021396559258722164
coherent,1983,0,0.7658517,0.034224972980923335
coherent,1984,0,1.0834732,0.05274229202264492
coherent,1985,0,1.4715179,0.07837474278277454
coherent,1986,1,1.918609,0.11244099228712975
coherent,1987,0,2.401492,0.15595756568491156
coherent,1988,1,2.8856893,0.20923914767754376
coherent,1989,0,3.32883,0.27200870166059105
coherent,1990,0,3.686442,0.3428517070724001
coherent,1991,0,3.9191947,0.41977648279096436
coherent,1992,2,4.0,0.49984070981837553
coherent,1993,0,3.9191947,0.5799373981777645
coherent,1994,1,3.686442,0.6568416118490583
coherent,1995,0,3.32883,0.7277051793081377
coherent,1996,0,2.8856893,0.7904782639516018
coherent,1997,0,2.401492,0.8437563152838172
coherent,1998,0,1.918609,0.8872917403618711
coherent,1999,0,1.4715179,0.9213391381859544
coherent,2000,0,1.0834732,0.9469889560189914
coherent,2001,0,0.7658517,0.9654889079878055
coherent,2002,0,0.51969045,0.9783244697555775
coherent,2003,0,0.33854672,0.9868753299256571
coherent,2004,2,0.211722,0.9923296568195391
coherent,2005,0,0.12711221,0.9956938249877839
coherent,2006,0,0.07326256,0.9976615194240334
coherent,2007,0,0.04053692,0.9987890857505344
coherent,2008,3,0.021532414,0.9993915687922439
coherent,2009,1,0.010980165,0.9997138809687287
coherent,2010,2,0.00537525,0.9998703997136636
coherent,2011,2,0.0025261675,0.9999490816834647
coherent,2012,1,0.001139722,0.9999835695008739
coherent,2013,3,0.0004936392,1.0
stac,1987,1,0.09120807,0.0
stac,1988,1,0.16484076,0.0011479161884228302
stac,1989,1,0.28600246,0.0030981058743760875
stac,1990,2,0.4763745,0.006464274678887672
stac,1991,1,0.7617301,0.011924706616735375
stac,1992,1,1.1693034,0.02049058052843219
stac,1993,0,1.7231662,0.03333078511506444
stac,1994,2,2.4378147,0.05186512482563365
stac,1995,0,3.3109152,0.07752113636092535
stac,1996,0,4.31687,0.11161869821221726
stac,1997,0,5.4033575,0.15517527167459683
stac,1998,2,6.492801,0.20850583217292581
stac,1999,0,7.4898677,0.2713330857379076
stac,2000,1,8.294495,0.34224121117747
stac,2001,2,8.818188,0.4192366966667175
stac,2002,3,9.0,0.49937451519582754
stac,2003,2,8.818188,0.5795448275671041
stac,2004,1,8.294495,0.656519729703766
stac,2005,2,7.4898677,0.727448438495914
stac,2006,1,6.492801,0.7902792254099392
stac,2007,1,5.4033575,0.8436062525592247
stac,2008,2,4.31687,0.8871816956090492
stac,2009,2,3.3109152,0.9212603878728961
stac,2010,1,2.4378147,0.9469337821885784
stac,2011,1,1.7231662,0.965450739118757
stac,2012,6,1.1693034,0.9782980984967051
stac,2013,8,0.7617301,0.9868568176170861
stac,2014,2,0.4763745,0.992316157831314
stac,2015,14,0.28600246,0.9956834183594454
stac,2016,10,0.16484076,0.9976529213946903
stac,2017,11,0.09120807,0.9987815242338215
stac,2018,11,0.04844793,0.9993845610377708
stac,2019,17,0.024705369,0.9997071694592236
stac,2020,13,0.012094312,0.9998638320693678
stac,2021,18,0.0056838766,0.9999425863659169
stac,2022,5,0.0025643744,0.9999771058812353
stac,2023,0,0.0011106883,0.9999935514845881
stac,2024,0,0.00046182447,1.0
nested,1961,1,1.0,0.0
nested,1962,0,0.9607895,0.22126810358326526
nested,1963,0,0.85214376,0.4284630109371927
nested,1964,0,0.6976763,0.6042164874757098
nested,1965,0,0.52729243,0.7421867452713348
nested,1966,0,0.36787948,0.8429973682751513
nested,1967,0,0.23692775,0.9103834652857924
nested,1968,0,0.14085843,0.9523592299646292
nested,1969,0,0.07730473,0.9764111334229026
nested,1970,0,0.039163906,0.9890762451654792
nested,1971,0,0.01831564,0.9953900981102488
nested,1972,0,0.0079070525,0.9981528886920763
nested,1973,0,0.0031511108,0.999384482861525
nested,1974,0,0.00115923,0.9998189037350907
nested,1975,0,0.00039366918,1.0
portfolio,2007,1,1.0,0.0
portfolio,2008,0,0.8948393,0.356409660201613
portfolio,2009,0,0.64118034,0.6546377498750471
portfolio,2010,0,0.36787948,0.8450525410986011
portfolio,2011,0,0.16901329,0.9407566636236161
portfolio,2012,0,0.06217653,0.9813572517372229
portfolio,2013,0,0.01831564,0.9954339844402617
portfolio,2014,0,0.0043202406,0.9987554207514022
portfolio,2015,0,0.0008159874,1.0
training instance,2002,1,1.0,0.0
training instance,2003,0,0.8948393,0.356409660201613
training instance,2004,0,0.64118034,0.6546377498750471
training instance,2005,0,0.36787948,0.8450525410986011
training instance,2006,0,0.16901329,0.9407566636236161
training instance,2007,0,0.06217653,0.9813572517372229
training instance,2008,0,0.01831564,0.9954339844402617
training instance,2009,0,0.0043202406,0.9987554207514022
training instance,2010,0,0.0008159874,1.0
information space,1980,1,1.0,0.0
information space,1981,0,0.8948393,0.356409660201613
information space,1982,0,0.64118034,0.6546377498750471
information space,1983,0,0.36787948,0.8450525410986011
information space,1984,0,0.16901329,0.9407566636236161
information space,1985,0,0.06217653,0.9813572517372229
information space,1986,0,0.01831564,0.9954339844402617
information space,1987,0,0.0043202406,0.9987554207514022
information space,1988,0,0.0008159874,1.0
absence,2007,1,1.0,0.0
absence,2008,0,0.8948393,0.356409660201613
absence,2009,0,0.64118034,0.6546377498750471
absence,2010,0,0.36787948,0.8450525410986011
absence,2011,0,0.16901329,0.9407566636236161
absence,2012,0,0.06217653,0.9813572517372229
absence,2013,0,0.01831564,0.9954339844402617
absence,2014,0,0.0043202406,0.9987554207514022
absence,2015,0,0.0008159874,1.0
close languages,2000,1,1.0,0.0
close languages,2001,0,0.8948393,0.356409660201613
close languages,2002,0,0.64118034,0.6546377498750471
close languages,2003,0,0.36787948,0.8450525410986011
close languages,2004,0,0.16901329,0.9407566636236161
close languages,2005,0,0.06217653,0.9813572517372229
close languages,2006,0,0.01831564,0.9954339844402617
close languages,2007,0,0.0043202406,0.9987554207514022
close languages,2008,0,0.0008159874,1.0
building process,2002,1,1.0,0.0
building process,2003,0,0.8948393,0.356409660201613
building process,2004,0,0.64118034,0.6546377498750471
building process,2005,0,0.36787948,0.8450525410986011
building process,2006,0,0.16901329,0.9407566636236161
building process,2007,0,0.06217653,0.9813572517372229
building process,2008,0,0.01831564,0.9954339844402617
building process,2009,0,0.0043202406,0.9987554207514022
building process,2010,0,0.0008159874,1.0
stacking classifier,2001,1,1.0,0.0
stacking classifier,2002,0,0.8948393,0.356409660201613
stacking classifier,2003,0,0.64118034,0.6546377498750471
stacking classifier,2004,0,0.36787948,0.8450525410986011
stacking classifier,2005,0,0.16901329,0.9407566636236161
stacking classifier,2006,0,0.06217653,0.9813572517372229
stacking classifier,2007,0,0.01831564,0.9954339844402617
stacking classifier,2008,0,0.0043202406,0.9987554207514022
stacking classifier,2009,0,0.0008159874,1.0
sense change,2014,1,1.0,0.0
sense change,2015,0,0.9607895,0.22126810358326526
sense change,2016,0,0.85214376,0.4284630109371927
sense change,2017,1,0.6976763,0.6042164874757098
sense change,2018,0,0.52729243,0.7421867452713348
sense change,2019,0,0.36787948,0.8429973682751513
