Unique Word,Year,Count,Fitted Value,Area Ratio
text to speech synthesis,1995,1,1.0,0.0
text to speech synthesis,1996,1,0.8948393,0.356409660201613
text to speech synthesis,1997,0,0.64118034,0.6546377498750471
text to speech synthesis,1998,1,0.36787948,0.8450525410986011
text to speech synthesis,1999,0,0.16901329,0.9407566636236161
text to speech synthesis,2000,0,0.06217653,0.9813572517372229
text to speech synthesis,2001,0,0.01831564,0.9954339844402617
text to speech synthesis,2002,0,0.0043202406,0.9987554207514022
text to speech synthesis,2003,0,0.0008159874,1.0
text regression,2010,1,1.0,0.0
text regression,2011,0,0.9797987,0.1595890470592513
text regression,2012,0,0.9216105,0.3138799055923238
text regression,2013,0,0.8322075,0.4556723004603635
text regression,2014,0,0.7214223,0.5810635862448291
text regression,2015,1,0.600373,0.6877497197447285
text regression,2016,0,0.47965226,0.7746624581187531
text regression,2017,1,0.36787948,0.8428606963526424
text regression,2018,0,0.2708683,0.8940729172834923
text regression,2019,1,0.19146292,0.9311043173956511
text regression,2020,0,0.12992261,0.956767298553551
text regression,2021,1,0.08463668,0.9738442756722986
text regression,2022,1,0.0529305,0.9847868826287359
text regression,2023,0,0.031778052,0.9914733439195365
text regression,2024,0,0.01831564,0.9954464917360255
text regression,2025,0,0.01013423,0.9976688502939681
text regression,2026,0,0.0053831036,0.9988984617457567
text regression,2027,0,0.0027450412,0.999525272563871
text regression,2028,0,0.0013438124,0.9998500252122402
text regression,2029,0,0.0006315419,1.0
dictionnaire electronique,2004,1,1.0,0.0
dictionnaire electronique,2005,0,0.8948393,0.356409660201613
dictionnaire electronique,2006,0,0.64118034,0.6546377498750471
dictionnaire electronique,2007,0,0.36787948,0.8450525410986011
dictionnaire electronique,2008,0,0.16901329,0.9407566636236161
dictionnaire electronique,2009,0,0.06217653,0.9813572517372229
dictionnaire electronique,2010,0,0.01831564,0.9954339844402617
dictionnaire electronique,2011,0,0.0043202406,0.9987554207514022
dictionnaire electronique,2012,0,0.0008159874,1.0
resource-light approach,2004,1,1.0,0.0
resource-light approach,2005,0,0.9607895,0.22126810358326526
resource-light approach,2006,0,0.85214376,0.4284630109371927
resource-light approach,2007,1,0.6976763,0.6042164874757098
resource-light approach,2008,0,0.52729243,0.7421867452713348
resource-light approach,2009,0,0.36787948,0.8429973682751513
resource-light approach,2010,0,0.23692775,0.9103834652857924
resource-light approach,2011,1,0.14085843,0.9523592299646292
resource-light approach,2012,1,0.07730473,0.9764111334229026
resource-light approach,2013,0,0.039163906,0.9890762451654792
resource-light approach,2014,0,0.01831564,0.9953900981102488
resource-light approach,2015,0,0.0079070525,0.9981528886920763
resource-light approach,2016,0,0.0031511108,0.999384482861525
resource-light approach,2017,0,0.00115923,0.9998189037350907
resource-light approach,2018,0,0.00039366918,1.0
nynorsk,1990,1,1.0,0.0
nynorsk,1991,0,0.8948393,0.356409660201613
nynorsk,1992,0,0.64118034,0.6546377498750471
nynorsk,1993,0,0.36787948,0.8450525410986011
nynorsk,1994,0,0.16901329,0.9407566636236161
nynorsk,1995,0,0.06217653,0.9813572517372229
nynorsk,1996,0,0.01831564,0.9954339844402617
nynorsk,1997,0,0.0043202406,0.9987554207514022
nynorsk,1998,0,0.0008159874,1.0
complement coercion,2013,1,1.0,0.0
complement coercion,2014,0,0.8948393,0.356409660201613
complement coercion,2015,0,0.64118034,0.6546377498750471
complement coercion,2016,0,0.36787948,0.8450525410986011
complement coercion,2017,0,0.16901329,0.9407566636236161
complement coercion,2018,0,0.06217653,0.9813572517372229
complement coercion,2019,0,0.01831564,0.9954339844402617
complement coercion,2020,1,0.0043202406,0.9987554207514022
complement coercion,2021,0,0.0008159874,1.0
uiuc,2007,1,1.0,0.0
uiuc,2008,0,0.8948393,0.356409660201613
uiuc,2009,0,0.64118034,0.6546377498750471
uiuc,2010,0,0.36787948,0.8450525410986011
uiuc,2011,0,0.16901329,0.9407566636236161
uiuc,2012,0,0.06217653,0.9813572517372229
uiuc,2013,0,0.01831564,0.9954339844402617
uiuc,2014,1,0.0043202406,0.9987554207514022
uiuc,2015,0,0.0008159874,1.0
bosnian,2012,1,1.0,0.0
bosnian,2013,0,0.8948393,0.356409660201613
bosnian,2014,1,0.64118034,0.6546377498750471
bosnian,2015,0,0.36787948,0.8450525410986011
bosnian,2016,0,0.16901329,0.9407566636236161
bosnian,2017,0,0.06217653,0.9813572517372229
bosnian,2018,0,0.01831564,0.9954339844402617
bosnian,2019,0,0.0043202406,0.9987554207514022
bosnian,2020,0,0.0008159874,1.0
direct parsing,1992,1,1.0,0.0
direct parsing,1993,0,0.8948393,0.356409660201613
direct parsing,1994,0,0.64118034,0.6546377498750471
direct parsing,1995,0,0.36787948,0.8450525410986011
direct parsing,1996,0,0.16901329,0.9407566636236161
direct parsing,1997,0,0.06217653,0.9813572517372229
direct parsing,1998,0,0.01831564,0.9954339844402617
direct parsing,1999,0,0.0043202406,0.9987554207514022
direct parsing,2000,1,0.0008159874,1.0
natural language programming,2011,1,1.0,0.0
natural language programming,2012,0,0.8948393,0.356409660201613
natural language programming,2013,0,0.64118034,0.6546377498750471
natural language programming,2014,0,0.36787948,0.8450525410986011
natural language programming,2015,0,0.16901329,0.9407566636236161
natural language programming,2016,0,0.06217653,0.9813572517372229
natural language programming,2017,1,0.01831564,0.9954339844402617
natural language programming,2018,0,0.0043202406,0.9987554207514022
natural language programming,2019,0,0.0008159874,1.0
monte carlo simulation,1969,1,1.0,0.0
monte carlo simulation,1970,0,0.8948393,0.356409660201613
monte carlo simulation,1971,0,0.64118034,0.6546377498750471
monte carlo simulation,1972,0,0.36787948,0.8450525410986011
monte carlo simulation,1973,0,0.16901329,0.9407566636236161
monte carlo simulation,1974,0,0.06217653,0.9813572517372229
monte carlo simulation,1975,0,0.01831564,0.9954339844402617
monte carlo simulation,1976,0,0.0043202406,0.9987554207514022
monte carlo simulation,1977,0,0.0008159874,1.0
tip of the tongue,2011,1,1.0,0.0
tip of the tongue,2012,0,0.8948393,0.356409660201613
tip of the tongue,2013,0,0.64118034,0.6546377498750471
tip of the tongue,2014,0,0.36787948,0.8450525410986011
tip of the tongue,2015,0,0.16901329,0.9407566636236161
tip of the tongue,2016,1,0.06217653,0.9813572517372229
tip of the tongue,2017,0,0.01831564,0.9954339844402617
tip of the tongue,2018,0,0.0043202406,0.9987554207514022
tip of the tongue,2019,0,0.0008159874,1.0
global ranking,2005,1,1.0,0.0
global ranking,2006,0,0.8948393,0.356409660201613
global ranking,2007,0,0.64118034,0.6546377498750471
global ranking,2008,0,0.36787948,0.8450525410986011
global ranking,2009,0,0.16901329,0.9407566636236161
global ranking,2010,1,0.06217653,0.9813572517372229
global ranking,2011,0,0.01831564,0.9954339844402617
global ranking,2012,0,0.0043202406,0.9987554207514022
global ranking,2013,0,0.0008159874,1.0
the past,2011,1,1.0,0.0
the past,2012,0,0.8948393,0.356409660201613
the past,2013,1,0.64118034,0.6546377498750471
the past,2014,0,0.36787948,0.8450525410986011
the past,2015,0,0.16901329,0.9407566636236161
the past,2016,0,0.06217653,0.9813572517372229
the past,2017,0,0.01831564,0.9954339844402617
the past,2018,0,0.0043202406,0.9987554207514022
the past,2019,0,0.0008159874,1.0
contradiction detection,2016,1,1.0,0.0
contradiction detection,2017,0,0.8948393,0.356409660201613
contradiction detection,2018,0,0.64118034,0.6546377498750471
contradiction detection,2019,0,0.36787948,0.8450525410986011
contradiction detection,2020,0,0.16901329,0.9407566636236161
contradiction detection,2021,0,0.06217653,0.9813572517372229
contradiction detection,2022,1,0.01831564,0.9954339844402617
contradiction detection,2023,0,0.0043202406,0.9987554207514022
contradiction detection,2024,0,0.0008159874,1.0
semantic modeling,2004,1,1.0,0.0
semantic modeling,2005,0,0.8948393,0.356409660201613
semantic modeling,2006,0,0.64118034,0.6546377498750471
semantic modeling,2007,0,0.36787948,0.8450525410986011
semantic modeling,2008,0,0.16901329,0.9407566636236161
semantic modeling,2009,0,0.06217653,0.9813572517372229
semantic modeling,2010,1,0.01831564,0.9954339844402617
semantic modeling,2011,0,0.0043202406,0.9987554207514022
semantic modeling,2012,0,0.0008159874,1.0
dialport,2016,1,1.0,0.0
dialport,2017,1,0.9607895,0.22126810358326526
dialport,2018,0,0.85214376,0.4284630109371927
dialport,2019,0,0.6976763,0.6042164874757098
dialport,2020,0,0.52729243,0.7421867452713348
dialport,2021,0,0.36787948,0.8429973682751513
dialport,2022,1,0.23692775,0.9103834652857924
dialport,2023,0,0.14085843,0.9523592299646292
dialport,2024,0,0.07730473,0.9764111334229026
dialport,2025,0,0.039163906,0.9890762451654792
dialport,2026,0,0.01831564,0.9953900981102488
dialport,2027,0,0.0079070525,0.9981528886920763
dialport,2028,0,0.0031511108,0.999384482861525
dialport,2029,0,0.00115923,0.9998189037350907
dialport,2030,0,0.00039366918,1.0
dialectal arabic corpus,2012,1,1.0,0.0
dialectal arabic corpus,2013,0,0.8948393,0.356409660201613
dialectal arabic corpus,2014,0,0.64118034,0.6546377498750471
dialectal arabic corpus,2015,0,0.36787948,0.8450525410986011
dialectal arabic corpus,2016,0,0.16901329,0.9407566636236161
dialectal arabic corpus,2017,0,0.06217653,0.9813572517372229
dialectal arabic corpus,2018,0,0.01831564,0.9954339844402617
dialectal arabic corpus,2019,1,0.0043202406,0.9987554207514022
dialectal arabic corpus,2020,0,0.0008159874,1.0
utu,1962,1,0.026876248,0.0
utu,1963,0,0.054900825,0.00016480085212675007
utu,1964,0,0.107662074,0.0004757881294501502
utu,1965,0,0.20268461,0.0010870183116439046
utu,1966,0,0.3663128,0.0022017963371488082
utu,1967,0,0.63556105,0.00418534272279635
utu,1968,0,1.05861,0.0075316723692354795
utu,1969,0,1.6927336,0.01300540971293714
utu,1970,0,2.5984523,0.021541652578710584
utu,1971,0,3.8292584,0.034385877175671695
utu,1972,0,5.417366,0.05288926424934461
utu,1973,0,7.3575897,0.07851566538352932
utu,1974,0,9.593045,0.11259529579271192
utu,1975,0,12.007461,0.15606550280101975
utu,1976,0,14.428446,0.20939603016149308
utu,1977,0,16.64415,0.2720838769779982
utu,1978,0,18.432209,0.3429896605398417
utu,1979,0,19.595974,0.4198354568920729
