year,ArticleCount
1952,26
1956,10
1957,26
1960,79
1961,39
1962,10
1963,34
1965,25
1967,38
1969,176
1971,20
1973,62
1974,21
1975,116
1976,70
1977,36
1978,111
1979,48
1980,184
1981,128
1982,254
1983,152
1984,224
1985,169
1986,317
1987,239
1988,383
1989,381
1990,530
1991,431
1992,619
1993,548
1994,693
1995,381
1996,616
1997,667
1998,1090
1999,539
2000,1284
2001,793
2002,1202
2003,1143
2004,1881
2005,1231
2006,2094
2007,1538
2008,2159
2009,2150
2010,2997
2011,2224
2012,3409
2013,2824
2014,3529
2015,2887
2016,4129
2017,3338
2018,4582
2019,4869
2020,7035
2021,6963
2022,5199
2023,45
